,player,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3,GMM_Cluster
0,Abedallah Shelbayh,0.0,3.571032783026876e-27,0.017832913911825708,0.9821670860881747,3
1,Adam Pavlasek,0.9899694347133857,0.006093051882911851,0.00036843744212369177,0.003569075961578928,0
2,Adam Walton,0.8897132804777395,0.11007278138862762,8.380131355128317e-06,0.00020555800227743394,0
3,Adrian Andreev,4.057364882089322e-24,0.9275120261642316,0.00024313438195537284,0.07224483945381345,1
4,Adrian Garcia,0.9998207399361565,1.4561041153935207e-08,5.223703938077957e-05,0.0001270084634213865,0
5,Adrian Mannarino,4.776226920098482e-16,0.9989343416533124,2.575954550183644e-05,0.0010398988011852887,1
6,Adrian Voinea,0.9999697227909045,8.010548580587457e-33,6.590785901450319e-17,3.027720909542001e-05,0
7,Adrien Bossel,0.9979543385093985,4.0572752923810975e-14,3.8318566891668183e-08,0.002045623171994412,0
8,Agustin Calleri,0.9997125688258334,1.8973072339580166e-11,0.0002783299342007379,9.101220993505256e-06,0
9,Agustin Velotti,0.9996228655601118,4.620638288850576e-12,4.541600353361996e-07,0.00037668027523263893,0
10,Aisam Ul Haq Qureshi,4.902988760215528e-06,8.359782055213103e-20,0.9999950970112392,1.428861238665034e-41,2
11,Akira Santillan,0.9988193711927368,8.538128571852437e-16,1.4060248142456748e-05,0.0011665685591199949,0
12,Alan Mackin,0.9997021953019838,1.548649287988187e-14,8.585627828059355e-09,0.00029779611237308834,0
13,Albano Olivetti,0.0,0.0,1.0,2.0033109474498834e-165,2
14,Albert Costa,0.6399171997783017,0.3467208710885343,3.661909015313804e-05,0.0133253100430106,0
15,Albert Montanes,1.26723075237e-313,3.312132850884873e-08,0.0013462591505950011,0.998653707728076,3
16,Albert Ramos,0.12250431039073224,0.8748427626029045,7.680196880285076e-06,0.0026452468094829893,1
17,Alberto Martin,1.4570823396600486e-280,0.01896826919989629,0.002785091320056303,0.9782466394800466,3
18,Alejandro Davidovich Fokina,9.33661137579734e-55,0.9954941158090054,4.0435931325828714e-05,0.004465448259668965,1
19,Alejandro Falla,0.9851776854948898,0.0131786850708167,0.0001021279018407222,0.0015415015324528498,0
20,Alejandro Gonzalez,0.9940681281569104,0.00014037098132649718,0.0001759954638443904,0.005615505397919101,0
21,Alejandro Lopez Escribano,0.9944248850608404,1.4611505926479492e-08,4.422862827134311e-07,0.005574658041371172,0
22,Alejandro Moro Canas,0.9058423853584096,0.08732544244664193,2.6079333260636686e-05,0.006806092861688139,0
23,Alejandro Tabilo,0.0013664617812518404,0.9982112866654479,1.0547944168474792e-05,0.0004117036091316429,1
24,Aleksandar Kovacevic,1.7315544065218234e-39,0.9902039555141627,0.009682901099595648,0.00011314338624177364,1
25,Aleksandar Vukic,7.653687244148564e-28,0.9997328517625034,0.00023891696362640836,2.8231273870045214e-05,1
26,Aleksandr Nedovyesov,5.1798717387958815e-142,0.008521660952535615,0.001515484791218732,0.9899628542562459,3
27,Aleksandre Metreveli,0.9998567307465223,6.021366666965964e-10,0.00014233705745348064,9.315938879165468e-07,0
28,Alessandro Giannessi,0.0,2.1073407707640438e-55,0.001764939786055031,0.9982350602139447,3
29,Alex Barrena,0.9999790964997954,3.07809879029743e-16,1.223289530070033e-05,8.670604903834298e-06,0
30,Alex Bogdanovic,0.9995894232664089,2.5277168466205526e-10,2.155261397534068e-05,0.00038902386684462815,0
31,Alex Bogomolov Jr,0.9999769807804304,3.441448483245388e-17,7.874670453521556e-06,1.5144549115952862e-05,0
32,Alex Bolt,0.9995544306465197,1.1490669042327753e-07,6.677695053847994e-05,0.00037867749625133165,0
33,Alex Corretja,0.7156702842915114,0.2790122314816225,2.7108314564531414e-05,0.0052903759123017575,0
34,Alex De Minaur,3.5990584904933875e-12,0.9987724393743042,5.624438740809316e-06,0.001221936183355986,1
35,Alex Kuznetsov,0.9965103507453794,0.0030240054697853336,0.0004628790742155093,2.764710619222509e-06,0
36,Alex Marti Pujolras,2.018046569821585e-250,4.1605567797653055e-13,0.03265197181160308,0.9673480281879802,3
37,Alex Michelsen,2.5032273693603582e-29,0.9991618030402318,0.00013575092081050827,0.0007024460389577841,1
38,Alex Molcan,0.13245023889938487,0.8655628274099054,8.53475409077333e-06,0.0019783989366189384,1
39,Alexander Blockx,0.99026582120809,6.535293171872953e-05,2.3566852981145553e-05,0.009645259007210073,0
40,Alexander Bublik,0.0,0.0031749240781154117,0.9967793010040644,4.577491781998825e-05,2
41,Alexander Cozbinov,0.9990114395060546,4.652104572637613e-05,4.242742985510105e-05,0.0008996120183642343,0
42,Alexander Popp,0.9687864910319169,1.9350619808259407e-20,0.031213366946561405,1.4202152193350896e-07,0
43,Alexander Ritschard,0.9991863623946328,2.243438188286171e-10,0.00046719613573519735,0.00034644124528873747,0
44,Alexander Shevchenko,1.5023492807543244e-09,0.9976279112022964,2.3903996333485656e-05,0.0023481832990208994,1
45,Alexander Vasilenko,0.9999876980522856,4.160981187553711e-17,1.35128782875583e-09,1.2300596426345883e-05,0
46,Alexander Waske,7.796459430371597e-12,2.0581580655643512e-50,0.9999999999922036,4.7474552949515504e-91,2
47,Alexander Zverev,6.3674815226351274e-06,0.9998658688783324,8.590413920924542e-05,4.1859500935777526e-05,1
48,Alexandr Dolgopolov,9.326767847998678e-05,0.9982441928870933,0.00011259937359562743,0.0015499400608309875,1
49,Alexandre Muller,0.0,9.470618837849218e-22,0.02923054560253939,0.9707694543974603,3
50,Alexandre Penaud,0.9941399464539834,2.877859001603465e-08,1.5632682591970297e-07,0.005859868440600839,0
51,Alexei Popyrin,3.17204614586e-312,0.956566097822517,0.03235402575895636,0.011079876418526322,1
