Rank,Player,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match
1,John Isner,312,69.00%,78.80%,56.00%,91.80%,18.7,2.3
2,Ivo Karlovic,309.8,65.50%,82.70%,53.30%,92.00%,19.8,3.5
3,Milos Raonic,302.6,62.80%,81.50%,55.00%,91.10%,15.5,3.3
4,Reilly Opelka,300.6,63.40%,79.10%,54.20%,89.40%,17.7,3.2
5,Andy Roddick,299.9,64.80%,79.30%,56.00%,90.10%,11.7,2
6,Nick Kyrgios,296.6,65.90%,77.40%,53.20%,88.60%,15,3.5
7,Giovanni Mpetshi Perricard,294.2,64.80%,78.40%,52.50%,87.80%,15.6,4.9
8,Joachim Johansson,293.4,62.10%,79.20%,52.80%,89.30%,14.3,4.3
9,Matteo Berrettini,290.9,64.10%,77.90%,52.90%,87.90%,10,1.9
10,Roger Federer,290.9,62.10%,77.30%,56.80%,88.80%,7.8,1.9
11,Kevin Anderson,290.8,64.50%,77.00%,52.80%,86.60%,12.9,3
12,Wayne Arthurs,290.4,55.70%,81.20%,54.70%,88.20%,15.8,5.2
13,Pete Sampras,289,59.50%,80.90%,52.60%,88.70%,11,3.7
14,Hubert Hurkacz,288.3,63.40%,76.60%,52.40%,86.40%,11.6,2.1
15,Ben Shelton,288.3,65.40%,75.80%,53.70%,87.30%,9.8,3.7
16,Chris Guccione,287.7,60.00%,78.50%,51.50%,86.40%,14.6,3.3
17,Richard Krajicek,286.9,58.20%,81.40%,51.10%,87.20%,12.6,3.6
18,Jo-Wilfried Tsonga,286.8,62.00%,77.60%,52.80%,86.90%,9.9,2.4
19,Wesley Moodie,285.2,68.90%,73.50%,51.30%,83.80%,10.8,3.1
20,Christopher Eubanks,284.5,68.30%,73.60%,51.00%,84.30%,10.6,3.3
21,Sam Groth,284.4,60.50%,78.30%,50.70%,84.50%,15.4,5
22,Novak Djokovic,284.2,64.90%,74.20%,55.50%,86.10%,5.8,2.3
23,Gilles Muller,284.2,61.40%,78.00%,50.10%,84.90%,13.4,3.6
24,Brandon Nakashima,284.2,64.30%,74.80%,53.80%,85.00%,7.9,1.6
25,Rafael Nadal,284.1,68.00%,72.00%,57.10%,85.50%,3.2,1.7
26,Stefanos Tsitsipas,284.1,62.00%,76.20%,54.70%,86.40%,7.2,2.4
27,Maxime Cressy,283.9,60.10%,79.00%,52.00%,87.40%,14.8,9.4
28,Greg Rusedski,283.2,58.00%,79.80%,52.30%,86.50%,11.2,4.6
29,Ivan Ljubicic,282.5,58.40%,77.50%,51.80%,85.30%,12,2.5
30,Sam Querrey,282.4,59.10%,78.90%,50.20%,84.80%,12.8,3.4
31,Goran Ivanisevic,282.2,54.90%,82.50%,50.10%,85.70%,13.9,4.9
32,Mark Philippoussis,281.7,57.90%,79.90%,49.90%,85.30%,13.9,5.2
33,Taylor Fritz,281.6,60.20%,76.70%,52.50%,84.60%,9.9,2.3
34,Juan Martin del Potro,281.4,63.80%,74.40%,53.20%,84.80%,7.5,2.3
35,Nicolas Jarry,281.1,63.70%,74.40%,52.20%,83.90%,9.7,2.8
36,Alexander Zverev,281,67.00%,74.70%,50.50%,84.00%,8.4,3.6
37,Jannik Sinner,279.8,59.90%,75.10%,55.30%,85.70%,5.9,2.1
38,Max Mirnyi,279.2,62.60%,75.80%,51.20%,83.90%,9.4,3.7
39,Carlos Alcaraz,279.1,64.90%,72.10%,55.90%,84.20%,4.4,2.4
40,Mario Ancic,279.1,61.30%,75.50%,51.90%,83.80%,9.3,2.7
41,Borna Gojo,278.7,64.50%,75.00%,49.40%,82.00%,11.5,3.7
42,Felix Auger-Aliassime,278.6,63.70%,75.80%,50.20%,83.60%,9.4,4.1
43,Hamad Medjedovic,278.5,64.70%,73.90%,51.00%,83.30%,9,3.4
44,Boris Becker,278.4,57.40%,79.40%,50.20%,85.80%,10.4,4.8
45,Guy Forget,278.3,58.10%,77.80%,51.70%,84.00%,9,2.3
46,Todd Martin,278.1,61.60%,75.60%,51.10%,83.60%,9.5,3.3
47,Arthur Rinderknech,278.1,63.30%,75.50%,48.70%,83.40%,10,2.8
48,Lloyd Harris,278,64.70%,74.80%,48.00%,81.70%,11.2,2.4
49,Jack Draper,277.9,60.10%,76.50%,51.50%,84.50%,8.2,2.9
50,Robin Soderling,277.8,61.10%,75.70%,51.70%,83.90%,8.4,3
