player,winners_per_point,forced_per_point,unforced_per_point
Aaron Krickstein,0.3275862068965517,0.2349137931034483,0.4375
Abedallah Shelbayh,0.35398230088495575,0.1504424778761062,0.49557522123893805
Adam Pavlasek,0.21379310344827587,0.19310344827586207,0.593103448275862
Adam Walton,0.26666666666666666,0.35,0.38333333333333336
Adrian Andreev,0.3099273607748184,0.2784503631961259,0.4116222760290557
Adrian Garcia,0.3170731707317073,0.21951219512195122,0.4634146341463415
Adrian Mannarino,0.26419082125603865,0.24728260869565216,0.48792270531400966
Adrian Voinea,0.18181818181818182,0.22727272727272727,0.5909090909090909
Adriano Panatta,0.37254901960784315,0.21568627450980393,0.4117647058823529
Adrien Bossel,0.13333333333333333,0.26666666666666666,0.6
Agustin Calleri,0.3069306930693069,0.21782178217821782,0.4752475247524752
Agustin Velotti,0.30434782608695654,0.30434782608695654,0.391304347826087
Aisam Ul Haq Qureshi,0.40625,0.140625,0.453125
Akira Santillan,0.34285714285714286,0.11428571428571428,0.5428571428571428
Alan Mackin,0.20588235294117646,0.20588235294117646,0.5882352941176471
Albano Olivetti,0.3333333333333333,0.23809523809523808,0.42857142857142855
Albert Costa,0.3901192504258944,0.19761499148211242,0.4122657580919932
Albert Montanes,0.3177570093457944,0.14953271028037382,0.5327102803738317
Albert Ramos,0.28865979381443296,0.22901325478645065,0.48159057437407954
Alberto Berasategui,0.3321917808219178,0.19863013698630136,0.4691780821917808
Alberto Mancini,0.3140794223826715,0.21299638989169675,0.4729241877256318
Alberto Martin,0.42105263157894735,0.17543859649122806,0.40350877192982454
Alejandro Davidovich Fokina,0.31454495463293924,0.20236458619741546,0.4828155072862249
Alejandro Falla,0.2948328267477204,0.23100303951367782,0.47416413373860183
Alejandro Gonzalez,0.2268041237113402,0.1958762886597938,0.5773195876288659
Alejandro Lopez Escribano,0.15789473684210525,0.21052631578947367,0.631578947368421
Alejandro Moro Canas,0.2878787878787879,0.25,0.4621212121212121
Alejandro Tabilo,0.34196891191709844,0.22901554404145077,0.42694300518134715
Aleksandar Kovacevic,0.2741514360313316,0.2010443864229765,0.5248041775456919
Aleksandar Vukic,0.2793914246196404,0.24066390041493776,0.4785615491009682
Aleksandr Nedovyesov,0.28703703703703703,0.19444444444444445,0.5185185185185185
Aleksandre Metreveli,0.26865671641791045,0.23880597014925373,0.4925373134328358
Alessandro Giannessi,0.4066666666666667,0.18,0.41333333333333333
Alex Barrena,0.22727272727272727,0.3181818181818182,0.45454545454545453
Alex Bogdanovic,0.2972972972972973,0.1891891891891892,0.5135135135135135
Alex Bogomolov Jr,0.2,0.16,0.64
Alex Bolt,0.2857142857142857,0.15714285714285714,0.5571428571428572
Alex Corretja,0.3453689167974882,0.23469387755102042,0.41993720565149134
Alex De Minaur,0.300921187308086,0.25554418287273967,0.44268167860798363
Alex Kuznetsov,0.3125,0.0625,0.625
Alex Marti Pujolras,0.19672131147540983,0.19672131147540983,0.6065573770491803
Alex Michelsen,0.35689851767388825,0.27936145952109465,0.36259977194982895
Alex Molcan,0.3037542662116041,0.23720136518771331,0.4590443686006826
Alexander Blockx,0.3333333333333333,0.1839080459770115,0.4827586206896552
Alexander Bublik,0.33522874127681573,0.18816231584388732,0.4763504781597312
Alexander Cozbinov,0.1956521739130435,0.22826086956521738,0.5760869565217391
Alexander Popp,0.43902439024390244,0.24390243902439024,0.3170731707317073
Alexander Ritschard,0.375,0.075,0.55
Alexander Shevchenko,0.30071599045346065,0.19331742243436753,0.5047732696897375
Alexander Vasilenko,0.2692307692307692,0.23076923076923078,0.5
Alexander Volkov,0.3627906976744186,0.27906976744186046,0.3581395348837209
Alexander Waske,0.2,0.25,0.55
