,player,Kmeans_cluster,hierarchial_cluster,GMM_Cluster,GMM_Cluster_0,GMM_Cluster_1,GMM_Cluster_2,GMM_Cluster_3
0,Abedallah Shelbayh,1,0,3,0.0,3.571032783026876e-27,0.0178329139118257,0.9821670860881748
1,Adam Pavlasek,0,0,0,0.9899694347133856,0.0060930518829118,0.0003684374421236,0.0035690759615789
2,Adam Walton,0,0,0,0.8897132804777395,0.1100727813886276,8.380131355128317e-06,0.0002055580022774
3,Adrian Andreev,0,0,1,4.057364882089322e-24,0.9275120261642316,0.0002431343819553,0.0722448394538134
4,Adrian Garcia,1,0,0,0.9998207399361564,1.4561041153935209e-08,5.223703938077957e-05,0.0001270084634213
5,Adrian Mannarino,3,0,1,4.776226920098482e-16,0.9989343416533124,2.575954550183644e-05,0.0010398988011852
6,Adrian Voinea,0,1,0,0.9999697227909043,8.010548580587457e-33,6.590785901450319e-17,3.027720909542001e-05
7,Adrien Bossel,0,0,0,0.9979543385093984,4.0572752923810975e-14,3.831856689166818e-08,0.0020456231719944
8,Agustin Calleri,0,0,0,0.9997125688258334,1.897307233958017e-11,0.0002783299342007,9.101220993505256e-06
9,Agustin Velotti,0,0,0,0.9996228655601118,4.620638288850576e-12,4.541600353361996e-07,0.0003766802752326
10,Aisam Ul Haq Qureshi,2,3,2,4.902988760215528e-06,8.359782055213103e-20,0.9999950970112392,1.428861238665034e-41
11,Akira Santillan,1,2,0,0.9988193711927368,8.538128571852438e-16,1.4060248142456748e-05,0.0011665685591199
12,Alan Mackin,0,0,0,0.9997021953019838,1.5486492879881872e-14,8.585627828059355e-09,0.000297796112373
13,Albano Olivetti,2,3,2,0.0,0.0,1.0,2.0033109474498837e-165
14,Albert Costa,3,0,0,0.6399171997783017,0.3467208710885343,3.661909015313804e-05,0.0133253100430106
15,Albert Montanes,3,0,3,1.26723075237e-313,3.312132850884873e-08,0.001346259150595,0.998653707728076
16,Albert Ramos,3,0,1,0.1225043103907322,0.8748427626029045,7.680196880285076e-06,0.0026452468094829
17,Alberto Martin,3,2,3,1.4570823396600486e-280,0.0189682691998962,0.0027850913200563,0.9782466394800466
18,Alejandro Davidovich Fokina,1,0,1,9.33661137579734e-55,0.9954941158090054,4.043593132582872e-05,0.0044654482596689
19,Alejandro Falla,0,0,0,0.9851776854948898,0.0131786850708167,0.0001021279018407,0.0015415015324528
20,Alejandro Gonzalez,0,0,0,0.9940681281569104,0.0001403709813264,0.0001759954638443,0.0056155053979191
21,Alejandro Lopez Escribano,3,0,0,0.9944248850608404,1.4611505926479492e-08,4.422862827134311e-07,0.0055746580413711
22,Alejandro Moro Canas,0,0,0,0.9058423853584096,0.0873254424466419,2.607933326063669e-05,0.0068060928616881
23,Alejandro Tabilo,1,2,1,0.0013664617812518,0.998211286665448,1.0547944168474792e-05,0.0004117036091316
24,Aleksandar Kovacevic,1,2,1,1.7315544065218234e-39,0.9902039555141628,0.0096829010995956,0.0001131433862417
25,Aleksandar Vukic,1,2,1,7.653687244148564e-28,0.9997328517625034,0.0002389169636264,2.823127387004521e-05
26,Aleksandr Nedovyesov,0,0,3,5.1798717387958815e-142,0.0085216609525356,0.0015154847912187,0.989962854256246
27,Aleksandre Metreveli,1,0,0,0.9998567307465224,6.021366666965963e-10,0.0001423370574534,9.315938879165468e-07
28,Alessandro Giannessi,3,2,3,0.0,2.1073407707640438e-55,0.001764939786055,0.9982350602139448
29,Alex Barrena,0,0,0,0.9999790964997954,3.07809879029743e-16,1.223289530070033e-05,8.670604903834298e-06
30,Alex Bogdanovic,0,0,0,0.9995894232664088,2.5277168466205526e-10,2.155261397534068e-05,0.0003890238668446
31,Alex Bogomolov Jr,3,0,0,0.9999769807804304,3.4414484832453876e-17,7.874670453521556e-06,1.5144549115952862e-05
32,Alex Bolt,3,0,0,0.9995544306465196,1.1490669042327753e-07,6.677695053847994e-05,0.0003786774962513
33,Alex Corretja,0,0,0,0.7156702842915114,0.2790122314816225,2.710831456453141e-05,0.0052903759123017
34,Alex De Minaur,0,2,1,3.599058490493388e-12,0.9987724393743042,5.624438740809316e-06,0.0012219361833559
35,Alex Kuznetsov,1,2,0,0.9965103507453794,0.0030240054697853,0.0004628790742155,2.764710619222509e-06
36,Alex Marti Pujolras,3,0,3,2.0180465698215848e-250,4.160556779765306e-13,0.032651971811603,0.9673480281879802
37,Alex Michelsen,1,2,1,2.5032273693603584e-29,0.9991618030402318,0.0001357509208105,0.0007024460389577
38,Alex Molcan,0,0,1,0.1324502388993848,0.8655628274099054,8.53475409077333e-06,0.0019783989366189
39,Alexander Blockx,1,0,0,0.99026582120809,6.535293171872953e-05,2.3566852981145556e-05,0.00964525900721
40,Alexander Bublik,2,2,2,0.0,0.0031749240781154,0.9967793010040644,4.577491781998825e-05
41,Alexander Cozbinov,0,0,0,0.9990114395060546,4.652104572637613e-05,4.242742985510105e-05,0.0008996120183642
42,Alexander Popp,2,2,0,0.9687864910319168,1.9350619808259407e-20,0.0312133669465614,1.4202152193350898e-07
43,Alexander Ritschard,3,0,0,0.9991863623946328,2.2434381882861708e-10,0.0004671961357351,0.0003464412452887
44,Alexander Shevchenko,1,0,1,1.5023492807543242e-09,0.9976279112022964,2.3903996333485656e-05,0.0023481832990208
45,Alexander Vasilenko,0,0,0,0.9999876980522856,4.1609811875537106e-17,1.35128782875583e-09,1.2300596426345883e-05
46,Alexander Waske,2,3,2,7.796459430371597e-12,2.0581580655643512e-50,0.9999999999922036,4.7474552949515504e-91
47,Alexander Zverev,1,2,1,6.367481522635128e-06,0.9998658688783324,8.590413920924542e-05,4.1859500935777526e-05
48,Alexandr Dolgopolov,1,2,1,9.326767847998678e-05,0.9982441928870932,0.0001125993735956,0.0015499400608309
49,Alexandre Muller,0,0,3,0.0,9.470618837849218e-22,0.0292305456025393,0.9707694543974604
50,Alexandre Penaud,3,0,0,0.9941399464539834,2.8778590016034652e-08,1.5632682591970297e-07,0.0058598684406008
51,Alexei Popyrin,1,2,1,3.17204614586e-312,0.956566097822517,0.0323540257589563,0.0110798764185263
52,Alexey Vatutin,0,0,0,0.9995673130512672,4.653229329716887e-14,1.1754142994849083e-07,0.0004325694072565
53,Alexis Galarneau,3,0,0,0.955082263307812,0.0338813901395596,5.908684511853376e-06,0.0110304378681161
54,Aljaz Bedene,0,0,1,0.0009745482748058,0.9976061951773793,2.235909541872964e-05,0.0013968974523962
55,Altug Celikbilek,0,0,0,0.9998707927001624,1.4336716489676655e-09,0.0001291595073027,4.63588630689168e-08
56,Alvaro Guillen Meza,3,0,0,0.9632203506543628,0.0156616371705935,2.5888365334334623e-05,0.0210921238097093
57,Amir Weintraub,0,0,0,0.9999560926854728,6.417123854803551e-13,2.791058913089374e-05,1.5996724754998702e-05
58,Andre Agassi,0,2,1,1.1553144148602955e-09,0.9969190014479696,1.364218147475492e-05,0.0030673552152412
59,Andrea Arnaboldi,2,2,2,4.407496303448984e-07,2.620491737381605e-92,0.9999995592503708,1.4897415903213944e-30
60,Andrea Collarini,3,2,3,0.0,3.473616031584008e-31,0.0001178303507094,0.99988216964929
61,Andrea Pellegrino,3,0,3,0.0,0.0,3.118654228310884e-18,1.0
62,Andrea Vavassori,1,0,2,1.0678372069880623e-124,4.462203914615773e-05,0.999955377958246,2.6084033784981658e-12
63,Andreas Haider Maurer,1,0,0,0.6183497039480579,0.3777966569630339,5.020180432991656e-05,0.0038034372845784
64,Andreas Seppi,0,0,1,0.0383241957858492,0.9595098501553968,1.0052432833421609e-05,0.0021559016259205
65,Andreas Vinciguerra,0,0,0,0.9577967796112448,0.040780641896151,0.0014205023105063,2.076182098062393e-06
66,Andrei Pavel,1,0,0,0.9979858644141238,1.6966958065438263e-05,0.0019966125757498,5.56052060767724e-07
67,Andrei Stoliarov,0,0,0,0.9987428220037238,0.0011677683000677,8.88535365627284e-05,5.561596460112973e-07
68,Andrej Martin,3,0,3,5.507046240178898e-295,0.0003389177777607,0.011802596564203,0.9878584856580362
69,Andres Artunedo,0,0,0,0.9999998151215348,1.3701102815470955e-47,7.914524162410059e-12,1.8487055102576081e-07
70,Andrew Harris,0,0,0,0.9983141508849996,6.8357898769246025e-06,5.325169942789101e-05,0.0016257616256955
71,Andrey Golubev,1,0,3,0.0,0.0005217726011366,0.0227237251721755,0.9767545022266876
72,Andrey Kuznetsov,1,0,0,0.9978808837139358,4.030974601102146e-06,0.0011679513267064,0.0009471339847564
73,Andrey Rublev,1,2,1,0.0784040958884394,0.9210117967569712,0.0005093161142049,7.479124038467822e-05
74,Andy Murray,1,2,1,0.0118220914971328,0.987597481318747,5.6252963094631765e-06,0.0005748018878106
75,Andy Roddick,1,2,1,0.0058327299294037,0.9938819539780636,0.0002811810276346,4.135064898131898e-06
76,Ante Pavic,1,2,2,0.0009990805096859,3.375201182615031e-11,0.9990009194565628,1.5180301435964692e-22
77,Antoine Bellier,2,3,2,3.069369148933559e-38,6.194951850963492e-107,1.0,4.1503079756946484e-194
78,Antoine Escoffier,1,2,2,0.0,4.686882894704319e-28,0.9994514941635256,0.0005485058364739
