year,matches,mean_brier
2000,3378,0.2332924932427126
2001,3400,0.22231002455478854
2002,3213,0.2213131668219399
2003,3125,0.21405266726038044
2004,3288,0.21459252492003933
2005,3264,0.20846183647246094
2006,3267,0.2083177726093933
2007,3285,0.20731268374291528
2008,3030,0.20647549567314286
2009,3085,0.19889886692450914
2010,3030,0.20287933046567505
2011,3015,0.2004753451088023
2012,3094,0.19417714789642931
2013,2944,0.20227779233851195
2014,2816,0.2023105882092339
2015,2943,0.1988457127689725
2016,2941,0.2034275968625266
2017,2911,0.20973567653545971
2018,2982,0.2191323174260269
2019,2721,0.2188322587322791
2020,1462,0.21672201275255937
2021,2733,0.21825861794053208
2022,2917,0.2128441043110846
2023,2986,0.22080402778438094
2024,3076,0.21762775942872262
