tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2023-2843,Adelaide 1,Hard,32,A,20230102,291,106421,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,200175,,,Miomir Kecmanovic,R,183.0,SRB,23.3,6-0 6-3,3,R16,67.0,7.0,3.0,51.0,38.0,29.0,7.0,8.0,1.0,1.0,0.0,0.0,42.0,31.0,13.0,6.0,7.0,3.0,7.0,7.0,4065.0,29.0,1420.0,atp_matches_2023.csv,2023-01-02,1985.2587055720112,1832.754794285476,1971.3005352856587,1813.3097322214005
2023-2843,Adelaide 1,Hard,32,A,20230102,291,106421,3.0,,Daniil Medvedev,R,198.0,RUS,26.8,200175,,,Miomir Kecmanovic,R,183.0,SRB,23.3,6-0 6-3,3,R16,67.0,7.0,3.0,51.0,38.0,29.0,7.0,8.0,1.0,1.0,0.0,0.0,42.0,31.0,13.0,6.0,7.0,3.0,7.0,7.0,4065.0,29.0,1420.0,atp_matches_2023.csv,2023-01-02,2004.5654469202304,1823.3590615387316,1987.4051589467485,1804.1222545106816
2023-9900,United Cup,Hard,18,A,20230102,248,126203,3.0,,Taylor Fritz,R,196.0,USA,25.1,208103,14.0,,Jiri Lehecka,R,185.0,CZE,21.1,6-3 6-4,3,RR,,5.0,3.0,68.0,41.0,32.0,14.0,10.0,2.0,2.0,4.0,1.0,48.0,31.0,24.0,8.0,9.0,1.0,3.0,9.0,3355.0,81.0,646.0,atp_matches_2023.csv,2023-01-02,2045.6007691084828,1629.8467824166005,2014.0703515808518,1610.6107925598956
2023-9900,United Cup,Hard,18,A,20230102,248,126203,3.0,,Taylor Fritz,R,196.0,USA,25.1,208103,14.0,,Jiri Lehecka,R,185.0,CZE,21.1,6-3 6-4,3,RR,,5.0,3.0,68.0,41.0,32.0,14.0,10.0,2.0,2.0,4.0,1.0,48.0,31.0,24.0,8.0,9.0,1.0,3.0,9.0,3355.0,81.0,646.0,atp_matches_2023.csv,2023-01-02,2048.2787580904946,1657.4014435853057,2016.927202514752,1636.6693217653308
2023-9900,United Cup,Hard,18,A,20230102,244,208103,14.0,,Jiri Lehecka,R,185.0,CZE,21.1,100644,10.0,,Alexander Zverev,R,198.0,GER,25.7,6-4 6-2,3,RR,92.0,5.0,3.0,67.0,47.0,36.0,8.0,9.0,6.0,7.0,1.0,8.0,56.0,34.0,22.0,8.0,9.0,4.0,8.0,81.0,646.0,12.0,2700.0,atp_matches_2023.csv,2023-01-02,1627.168793434589,2120.4302699477776,1607.7539416259954,1996.5248438925714
2023-9900,United Cup,Hard,18,A,20230102,244,208103,14.0,,Jiri Lehecka,R,185.0,CZE,21.1,100644,10.0,,Alexander Zverev,R,198.0,GER,25.7,6-4 6-2,3,RR,92.0,5.0,3.0,67.0,47.0,36.0,8.0,9.0,6.0,7.0,1.0,8.0,56.0,34.0,22.0,8.0,9.0,4.0,8.0,81.0,646.0,12.0,2700.0,atp_matches_2023.csv,2023-01-02,1654.3504558361517,2090.1976197970607,1633.4453839160676,1967.609463753236
2023-9900,United Cup,Hard,18,A,20230102,243,106214,,,Oscar Otte,R,193.0,GER,29.4,207494,,,Dalibor Svrcina,R,178.0,CZE,20.2,7-6(1) 6-2,3,RR,109.0,7.0,2.0,67.0,35.0,23.0,15.0,10.0,6.0,10.0,0.0,2.0,73.0,46.0,24.0,10.0,10.0,1.0,7.0,76.0,691.0,222.0,249.0,atp_matches_2023.csv,2023-01-02,1624.3472448074758,1500.0,1507.8772735343866,1500.0
2023-9900,United Cup,Hard,18,A,20230102,243,106214,,,Oscar Otte,R,193.0,GER,29.4,207494,,,Dalibor Svrcina,R,178.0,CZE,20.2,7-6(1) 6-2,3,RR,109.0,7.0,2.0,67.0,35.0,23.0,15.0,10.0,6.0,10.0,0.0,2.0,73.0,46.0,24.0,10.0,10.0,1.0,7.0,76.0,691.0,222.0,249.0,atp_matches_2023.csv,2023-01-02,1630.3114962437164,1489.4938093027151,1520.4828122611884,1484.362699706111
2023-9900,United Cup,Hard,18,A,20230102,240,200282,7.0,,Alex De Minaur,R,183.0,AUS,23.8,104745,4.0,,Rafael Nadal,L,185.0,ESP,36.5,3-6 6-1 7-5,3,RR,162.0,3.0,6.0,100.0,62.0,39.0,19.0,14.0,8.0,12.0,2.0,4.0,92.0,56.0,34.0,16.0,14.0,7.0,13.0,24.0,1790.0,2.0,6020.0,atp_matches_2023.csv,2023-01-02,1955.4293954474097,2045.249667955397,1916.5661435087175,1992.2165296986016
2023-9900,United Cup,Hard,18,A,20230102,240,200282,7.0,,Alex De Minaur,R,183.0,AUS,23.8,104745,4.0,,Rafael Nadal,L,185.0,ESP,36.5,3-6 6-1 7-5,3,RR,162.0,3.0,6.0,100.0,62.0,39.0,19.0,14.0,8.0,12.0,2.0,4.0,92.0,56.0,34.0,16.0,14.0,7.0,13.0,24.0,1790.0,2.0,6020.0,atp_matches_2023.csv,2023-01-02,1975.4760197449204,2025.2030436578862,1935.995940396222,1972.786732811097
2023-9900,United Cup,Hard,18,A,20230102,239,106186,,,Jason Kubler,R,178.0,AUS,29.6,105077,,,Albert Ramos,L,188.0,ESP,34.9,6-3 4-6 6-3,3,RR,129.0,10.0,2.0,78.0,50.0,41.0,14.0,14.0,1.0,3.0,4.0,2.0,82.0,46.0,33.0,19.0,14.0,1.0,5.0,107.0,538.0,39.0,1075.0,atp_matches_2023.csv,2023-01-02,1636.1884741745248,1698.0670199764513,1515.371579193066,1609.200479573516
2023-9900,United Cup,Hard,18,A,20230102,239,106186,,,Jason Kubler,R,178.0,AUS,29.6,105077,,,Albert Ramos,L,188.0,ESP,34.9,6-3 4-6 6-3,3,RR,129.0,10.0,2.0,78.0,50.0,41.0,14.0,14.0,1.0,3.0,4.0,2.0,82.0,46.0,33.0,19.0,14.0,1.0,5.0,107.0,538.0,39.0,1075.0,atp_matches_2023.csv,2023-01-02,1678.7192858044111,1669.154275056677,1562.176684526402,1581.1746363573893
2023-9900,United Cup,Hard,18,A,20230102,236,111815,15.0,,Cameron Norrie,L,188.0,GBR,27.3,104745,4.0,,Rafael Nadal,L,185.0,ESP,36.5,3-6 6-3 6-4,3,RR,164.0,6.0,2.0,88.0,57.0,42.0,18.0,14.0,5.0,6.0,10.0,4.0,95.0,55.0,40.0,21.0,14.0,9.0,11.0,14.0,2445.0,2.0,6020.0,atp_matches_2023.csv,2023-01-02,1857.1984927246756,2069.983186517239,1840.3393812515062,2015.6686419180455
2023-9900,United Cup,Hard,18,A,20230102,236,111815,15.0,,Cameron Norrie,L,188.0,GBR,27.3,104745,4.0,,Rafael Nadal,L,185.0,ESP,36.5,3-6 6-3 6-4,3,RR,164.0,6.0,2.0,88.0,57.0,42.0,18.0,14.0,5.0,6.0,10.0,4.0,95.0,55.0,40.0,21.0,14.0,9.0,11.0,14.0,2445.0,2.0,6020.0,atp_matches_2023.csv,2023-01-02,1881.9320112865178,2006.928539495132,1863.7914934709502,1955.0987586950748
2023-9900,United Cup,Hard,18,A,20230102,235,105554,,,Daniel Evans,R,175.0,GBR,32.6,105077,,,Albert Ramos,L,188.0,ESP,34.9,6-3 1-6 6-3,3,RR,139.0,5.0,1.0,73.0,41.0,32.0,15.0,13.0,2.0,5.0,3.0,3.0,82.0,49.0,32.0,14.0,12.0,4.0,7.0,27.0,1585.0,39.0,1075.0,atp_matches_2023.csv,2023-01-02,1813.8751070450185,1679.247159985853,1785.465746569159,1588.9815698205914
