date,surface,winner_id,loser_id,winner_name,loser_name,predicted_win_prob,actual_winner,r_w_global_before,r_l_global_before,r_w_global_after,r_l_global_after,r_w_surface_before,r_l_surface_before
2000-01-03,Hard,103720,102765,Lleyton Hewitt,Nicolas Escude,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103819,102533,Roger Federer,Jens Knippschild,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102358,103096,Thomas Enqvist,Arnaud Clement,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103017,101543,Nicolas Kiefer,Jeff Tarango,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101750,102730,Cristiano Caratti,Ivo Heuberger,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102644,101733,Franco Squillari,Jan Siemerink,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102854,102831,Sjeng Schalken,Jacobo Diaz,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102148,102694,Fabrice Santoro,Lars Burgsmuller,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102770,102869,John Van Lottum,Galo Blanco,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102238,102956,Alberto Berasategui,Sultan Khalfan,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102567,102562,George Bastl,Jiri Novak,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101772,102271,Andrei Cherkasov,Hicham Arazi,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102025,101964,Mikael Tillstrom,Goran Ivanisevic,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103292,102023,Gaston Gaudio,Petr Luxa,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101962,102179,Younes El Aynaoui,Antony Dupuis,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101888,102950,Daniel Vacek,Fernando Vicente,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102783,101439,Rainer Schuettler,Javier Sanchez,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103018,103264,Max Mirnyi,Mariano Puerta,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102259,103082,Jerome Golmard,Markus Hantschk,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103017,101750,Nicolas Kiefer,Cristiano Caratti,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102854,102644,Sjeng Schalken,Franco Squillari,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102148,102770,Fabrice Santoro,John Van Lottum,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102567,102238,George Bastl,Alberto Berasategui,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102025,101772,Mikael Tillstrom,Andrei Cherkasov,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102998,101885,Jan Michael Gambill,Wayne Arthurs,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101962,103292,Younes El Aynaoui,Gaston Gaudio,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,103206,102776,Sebastien Grosjean,Andrew Ilie,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101735,101889,Richard Fromberg,Todd Woodbridge,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102358,102796,Thomas Enqvist,Magnus Norman,0.5230095872975623,1,1516.0,1500.0,1531.263693206478,1484.736306793522,1516.0,1500.0
2000-01-03,Hard,102765,102450,Nicolas Escude,Tim Henman,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0
2000-01-03,Hard,103720,101727,Lleyton Hewitt,Jason Stoltenberg,0.5230095872975623,1,1516.0,1500.0,1531.263693206478,1484.736306793522,1516.0,1500.0
2000-01-03,Hard,102796,103252,Magnus Norman,Alberto Martin,0.4780479008586052,1,1484.736306793522,1500.0,1501.4387739660467,1483.2975328274754,1484.736306793522,1500.0
2000-01-03,Hard,102358,103206,Thomas Enqvist,Sebastien Grosjean,0.5219520991413947,1,1531.263693206478,1516.0,1546.5612260339533,1500.7024671725246,1531.263693206478,1516.0
2000-01-03,Hard,102450,103444,Tim Henman,Jean Rene Lisnard,0.4759331307924145,1,1483.263693206478,1500.0,1500.0338330211207,1483.2298601853572,1483.263693206478,1500.0
2000-01-03,Hard,102765,101792,Nicolas Escude,Slava Dosedel,0.5010596290677872,1,1500.736306793522,1500.0,1516.7023986633528,1484.0339081301693,1500.736306793522,1500.0
2000-01-03,Hard,101727,102652,Jason Stoltenberg,Christian Vinck,0.4780479008586052,1,1484.736306793522,1500.0,1501.4387739660467,1483.2975328274754,1484.736306793522,1500.0
2000-01-03,Hard,103720,103162,Lleyton Hewitt,Dejan Petrovic,0.544871027446134,1,1531.263693206478,1500.0,1545.8278203282016,1485.4358728782763,1531.263693206478,1500.0
2000-01-03,Hard,103252,102872,Alberto Martin,James Sekulov,0.4759817173204222,1,1483.2975328274754,1500.0,1500.0661178732219,1483.2314149542535,1483.2975328274754,1500.0
2000-01-03,Hard,102796,101735,Magnus Norman,Richard Fromberg,0.4790569719319589,1,1501.4387739660467,1516.0,1518.108950864224,1499.3298231018227,1501.4387739660467,1516.0
2000-01-03,Hard,103206,102998,Sebastien Grosjean,Jan Michael Gambill,0.4779992958087162,1,1500.7024671725246,1516.0,1517.4064897066457,1499.2959774658789,1500.7024671725246,1516.0
2000-01-03,Hard,102358,103819,Thomas Enqvist,Roger Federer,0.5438680569777848,1,1546.5612260339533,1516.0,1561.1574482106641,1501.4037778232891,1546.5612260339533,1516.0
2000-01-03,Hard,102450,102607,Tim Henman,Juan Balcells,0.5000486896311482,1,1500.0338330211207,1500.0,1516.032274952924,1484.0015580681968,1500.0338330211207,1500.0
2000-01-03,Hard,103444,101833,Jean Rene Lisnard,Michael Tebbutt,0.4758845541958576,1,1483.2298601853572,1500.0,1500.0015544510898,1483.2283057342675,1483.2298601853572,1500.0
2000-01-03,Hard,101792,103344,Slava Dosedel,Ivan Ljubicic,0.4770391073008154,1,1484.0339081301693,1500.0,1500.768656696543,1483.2652514336262,1484.0339081301693,1500.0
2000-01-03,Hard,102765,103385,Nicolas Escude,Paul Baccanello,0.5240181843144572,1,1516.7023986633528,1500.0,1531.9338167652902,1484.7685818980626,1516.7023986633528,1500.0
2000-01-03,Hard,101727,103103,Jason Stoltenberg,Dominik Hrbaty,0.5020705503431234,1,1501.4387739660467,1500.0,1517.3725163550669,1484.0662576109798,1501.4387739660467,1500.0
2000-01-03,Hard,102652,102834,Christian Vinck,Paul Goldstein,0.4759817173204222,1,1483.2975328274754,1500.0,1500.0661178732219,1483.2314149542535,1483.2975328274754,1500.0
2000-01-03,Hard,103162,101902,Dejan Petrovic,Stephane Huet,0.47905280425730384,1,1485.4358728782763,1500.0,1502.1061831420425,1483.3296897362338,1485.4358728782763,1500.0
2000-01-03,Hard,103720,101185,Lleyton Hewitt,Mark Woodforde,0.5655716940264897,1,1545.8278203282016,1500.0,1559.729526119354,1486.0982942088476,1545.8278203282016,1500.0
2000-01-03,Hard,103252,102434,Alberto Martin,Vincent Spadea,0.5000951512671395,1,1500.0661178732219,1500.0,1516.0630730326734,1484.0030448405485,1500.0661178732219,1500.0
2000-01-03,Hard,102872,101150,James Sekulov,Gianluca Pozzi,0.47588678648374483,1,1483.2314149542535,1500.0,1500.0030377867738,1483.2283771674797,1483.2314149542535,1500.0
2000-01-03,Hard,102796,102401,Magnus Norman,Scott Draper,0.5260373011515748,1,1518.108950864224,1500.0,1533.2757572273736,1484.8331936368504,1518.108950864224,1500.0
2000-01-03,Hard,102783,101888,Rainer Schuettler,Daniel Vacek,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102548,102456,Juan Antonio Marin,Felix Mantilla,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103017,102854,Nicolas Kiefer,Sjeng Schalken,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0
2000-01-03,Hard,210013,103294,Martin Damm Sr,Christophe Rochus,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101086,104156,Ronald Agenor,Sunil Kumar,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102259,102689,Jerome Golmard,Martin Spottl,0.5230095872975623,1,1516.0,1500.0,1531.263693206478,1484.736306793522,1516.0,1500.0
2000-01-03,Hard,102966,102466,Fredrik Jonsson,Jan Kroslak,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101969,102198,Orlin Stanoytchev,Paul Kilderry,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102965,101647,Jamie Delgado,Byron Black,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103082,102133,Markus Hantschk,Laurence Tieleman,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0
2000-01-03,Hard,102494,102880,Tomas Behrend,Alexander Popp,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103181,102982,Jiri Vanek,Yaoki Ishii,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102538,102087,Tuomas Ketola,Oleg Ogorodov,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,103714,101826,Andreas Vinciguerra,Alex Lopez Moron,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102106,102437,Davide Sanguinetti,Adrian Voinea,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102233,102369,Leander Paes,Julien Boutter,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,102455,102720,Lorenzo Manta,Tomas Zib,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,101611,103544,Cedric Pioline,Andy Ram,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0
2000-01-03,Hard,210013,101086,Martin Damm Sr,Ronald Agenor,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,102259,102966,Jerome Golmard,Fredrik Jonsson,0.5219520991413947,1,1531.263693206478,1516.0,1546.5612260339533,1500.7024671725246,1531.263693206478,1516.0
2000-01-03,Hard,102965,101969,Jamie Delgado,Orlin Stanoytchev,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
2000-01-03,Hard,103082,102494,Markus Hantschk,Tomas Behrend,0.4780479008586052,1,1500.736306793522,1516.0,1517.4387739660467,1499.2975328274754,1500.736306793522,1516.0
2000-01-03,Hard,102538,103181,Tuomas Ketola,Jiri Vanek,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0
