player_name,rating,last_match
Jannik Sinner,2216.88987630589,2024-11-24
Novak Djokovic,2108.8162044061587,2024-10-02
Carlos Alcaraz,2036.6405407294508,2024-11-19
Robin Soderling,2033.4875179968149,2011-07-11
Roger Federer,2014.0588421712112,2021-06-28
Alexander Zverev,1992.2460552552527,2024-11-11
Taylor Fritz,1961.7850911123057,2024-11-21
Nick Kyrgios,1937.0492887192559,2023-06-12
Juan Martin del Potro,1931.4714218679671,2022-02-07
Daniil Medvedev,1920.7499353154951,2024-11-11
Jack Draper,1899.8439983840492,2024-10-28
Grigor Dimitrov,1890.1366067768517,2024-10-28
Alex De Minaur,1883.6054357016978,2024-11-23
Rafael Nadal,1873.612988135224,2024-11-19
Holger Rune,1872.1011129032122,2024-10-28
Sebastian Korda,1861.393581432175,2024-08-26
Andy Roddick,1849.3816321682052,2012-08-27
Tommy Paul,1845.602190966575,2024-10-28
Stefanos Tsitsipas,1841.9793368816438,2024-10-28
Hubert Hurkacz,1837.3029477884695,2024-10-28
Karen Khachanov,1837.2323389624098,2024-10-28
Ugo Humbert,1836.4099494374045,2024-10-28
Matteo Berrettini,1835.62343320243,2024-11-24
Andre Agassi,1820.3077089002572,2006-08-28
Patrick Rafter,1809.110460495109,2001-11-30
Tomas Machac,1794.5456878006069,2024-10-28
Ben Shelton,1792.9786032181623,2024-11-21
Lorenzo Musetti,1791.5038492493222,2024-11-21
Alexei Popyrin,1787.7697296905408,2024-10-28
Gael Monfils,1779.9462598785344,2024-10-21
Jordan Thompson,1779.3438910555162,2024-10-28
Arthur Fils,1777.4322169597808,2024-12-18
Pete Sampras,1774.4123777800828,2002-08-26
Jan Lennard Struff,1773.7682310879986,2024-11-22
Milos Raonic,1773.164697421766,2024-07-29
Jiri Lehecka,1773.1056628488843,2024-11-04
Mario Ancic,1770.4774370682846,2010-05-02
David Nalbandian,1770.2013309032054,2013-03-20
Frances Tiafoe,1768.597533445757,2024-10-28
Mardy Fish,1765.2823126004553,2015-08-31
Flavio Cobolli,1762.1979225933324,2024-10-21
Kei Nishikori,1760.9765356670139,2024-10-21
Casper Ruud,1760.577769683469,2024-11-11
Felix Auger Aliassime,1757.0112763655015,2024-10-21
Denis Shapovalov,1756.8739169339485,2024-11-20
Tomas Berdych,1752.9365917950581,2019-08-26
Alexandr Dolgopolov,1746.8155875406076,2018-05-14
Tallon Griekspoor,1746.2070437272316,2024-11-24
Andrey Rublev,1744.4299727782384,2024-11-11
Jenson Brooksby,1733.5028543030899,2023-01-16
Hyeon Chung,1733.3604637130754,2019-10-21
Francisco Cerundolo,1731.3763540450532,2024-11-21
Radek Stepanek,1731.2161127604263,2017-01-16
Roberto Bautista Agut,1728.4141934565005,2024-11-04
Nicolas Escude,1726.558428878372,2004-07-26
David Goffin,1724.2385683276261,2024-10-21
Thanasi Kokkinakis,1718.2826364451253,2024-11-23
Brandon Nakashima,1710.3420397145842,2024-11-04
Pablo Carreno Busta,1708.4650922422811,2024-10-02
Alex Michelsen,1707.0316778494596,2024-12-18
David Ferrer,1706.5867544148766,2019-05-06
Juan Carlos Ferrero,1704.0375468863006,2012-10-21
Marcos Giron,1702.9456196052283,2024-10-28
Matteo Arnaldi,1701.4007291682744,2024-10-28
Jakub Mensik,1700.9640014725521,2024-12-18
Marat Safin,1700.0971942146539,2009-11-08
Jerzy Janowicz,1698.4347992274156,2020-03-06
Giovanni Mpetshi Perricard,1696.2727896926058,2024-10-28
Alex Molcan,1690.6737058817532,2024-02-26
Ivan Ljubicic,1689.655081973554,2012-04-15
Julien Benneteau,1689.4116577542545,2018-08-27
Cameron Norrie,1689.172986651952,2024-11-04
Juan Monaco,1684.4400393247688,2017-04-10
Fernando Gonzalez,1681.344936462515,2012-03-21
Nicolas Almagro,1680.990623132281,2018-07-23
Marin Cilic,1680.6470630817275,2024-11-04
Emil Ruusuvuori,1679.2181425766641,2024-07-29
Yannick Hanfmann,1678.1248862572586,2024-09-18
Jeremy Chardy,1675.119673471023,2023-07-03
Roman Safiullin,1674.8082252267222,2024-11-04
Tomas Martin Etcheverry,1673.1281470268868,2024-11-04
Jurgen Melzer,1671.8706002336141,2018-10-22
Nicolas Kiefer,1670.530757582482,2010-06-21
Hamad Medjedovic,1668.4525926883532,2024-11-04
Nicolas Mahut,1668.1304144813614,2021-02-02
Marcelo Arevalo,1667.3799668980396,2024-09-14
Alejandro Tabilo,1666.068278273479,2024-10-28
Yoshihito Nishioka,1665.6371329927472,2024-10-02
Joachim Johansson,1665.5305200623002,2013-10-14
Aleksandar Vukic,1665.3628904896448,2024-10-14
Alejandro Davidovich Fokina,1664.0094584625656,2024-10-21
