player_name,rating,last_match
Jannik Sinner,2366.5823193405404,2024-11-24
Novak Djokovic,2201.1443653282154,2024-10-02
Alexander Zverev,2103.4575474566345,2024-11-11
Taylor Fritz,2097.24988751845,2024-11-21
Carlos Alcaraz,2076.1952447925046,2024-11-19
Jack Draper,2030.6924196306948,2024-10-28
Daniil Medvedev,1982.1058519031562,2024-11-11
Holger Rune,1979.8477784395413,2024-10-28
Ugo Humbert,1971.9897849349788,2024-10-28
Karen Khachanov,1959.467475023231,2024-10-28
Sebastian Korda,1953.4567919750718,2024-08-26
Grigor Dimitrov,1942.6595567114819,2024-10-28
Alex De Minaur,1926.195884436868,2024-11-23
Stefanos Tsitsipas,1913.2835254861727,2024-10-28
Tomas Machac,1907.0596717210506,2024-10-28
Alexei Popyrin,1904.340445870042,2024-10-28
Matteo Berrettini,1903.011089443433,2024-11-24
Tommy Paul,1901.5091196800788,2024-10-28
David Goffin,1878.231775041319,2024-10-21
Hubert Hurkacz,1874.9561792629418,2024-10-28
Ben Shelton,1870.7054742630603,2024-11-21
Denis Shapovalov,1868.0234387562384,2024-11-20
Gael Monfils,1866.795843774892,2024-10-21
Flavio Cobolli,1863.2426997291839,2024-10-21
Arthur Fils,1861.7783169283814,2024-12-18
Jordan Thompson,1858.1506917455768,2024-10-28
Rafael Nadal,1853.1076599100911,2024-11-19
Lorenzo Musetti,1852.7462775405554,2024-11-21
Frances Tiafoe,1831.4988410737997,2024-10-28
Jiri Lehecka,1828.8480106431812,2024-11-04
Giovanni Mpetshi Perricard,1828.1619994008274,2024-10-28
Jan Lennard Struff,1825.4761207053484,2024-11-22
Thanasi Kokkinakis,1821.305100474598,2024-11-23
Milos Raonic,1814.6307543872115,2024-07-29
Francisco Cerundolo,1814.0339959483542,2024-11-21
Roberto Bautista Agut,1813.4025975753182,2024-11-04
Tallon Griekspoor,1812.6324410984976,2024-11-24
Marcos Giron,1809.1323915237754,2024-10-28
Kei Nishikori,1805.6106882491815,2024-10-21
Felix Auger Aliassime,1798.3329932043168,2024-10-21
Alex Michelsen,1791.7837996908422,2024-12-18
Yannick Hanfmann,1784.993040009793,2024-09-18
Hamad Medjedovic,1783.877247571663,2024-11-04
Joao Fonseca,1780.8265575715789,2024-12-18
Jakub Mensik,1773.0848234017926,2024-12-18
Casper Ruud,1769.9588112788135,2024-11-11
Brandon Nakashima,1767.475835318607,2024-11-04
Cameron Norrie,1760.6500531540617,2024-11-04
Alex Molcan,1758.850071416632,2024-02-26
Aleksandar Vukic,1753.6948129439584,2024-10-14
Matteo Arnaldi,1752.8545718943599,2024-10-28
Arthur Rinderknech,1750.2095892800107,2024-10-28
Bu Yunchaokete,1740.7805602144574,2024-11-04
Borna Gojo,1740.4889275259466,2024-09-13
Pablo Carreno Busta,1740.0175655760884,2024-10-02
Andrey Rublev,1739.4351312641259,2024-11-11
Roman Safiullin,1738.3840474097422,2024-11-04
Michael Mmoh,1735.6197297757355,2024-04-01
Marcelo Arevalo,1732.0863557479317,2024-09-14
Zizou Bergs,1722.5541450860724,2024-11-04
Miomir Kecmanovic,1721.0061575443012,2024-11-04
Emil Ruusuvuori,1719.305728524549,2024-07-29
Tomas Martin Etcheverry,1719.299495308196,2024-11-04
Benjamin Bonzi,1716.1890532945015,2024-11-04
Botic Van De Zandschulp,1715.2494355289182,2024-11-24
Roberto Carballes Baena,1715.1083566070888,2024-11-04
Dominik Koepfer,1714.5889151995752,2024-10-14
Alejandro Tabilo,1713.167958253956,2024-10-28
Yoshihito Nishioka,1708.799119306905,2024-10-02
Alejandro Davidovich Fokina,1704.7081038349547,2024-10-21
Nuno Borges,1702.5079611813812,2024-11-04
Ricardas Berankis,1700.9799592322765,2024-02-03
Christopher Oconnell,1698.6242143322836,2024-11-04
Cristian Garin,1694.1455364705516,2024-09-15
Zsombor Piros,1688.6220029426097,2024-09-13
Quentin Halys,1687.8667404704447,2024-11-04
Learner Tien,1686.0798183104607,2024-12-18
Marin Cilic,1683.2758019255057,2024-11-04
Fabian Marozsan,1682.8831914211748,2024-11-04
Dominic Stricker,1681.9355743069939,2024-10-21
Rinky Hijikata,1681.1844906479596,2024-10-02
Arthur Cazaux,1680.868915151187,2024-10-28
Thiago Seyboth Wild,1679.2366867075382,2024-10-21
Max Purcell,1678.4676485059256,2024-08-26
Timofey Skatov,1678.1669799867734,2024-10-14
Vasek Pospisil,1676.0949111387783,2024-08-05
Stan Wawrinka,1675.0504755554464,2024-11-04
Laslo Djere,1672.8360391321335,2024-11-04
Kamil Majchrzak,1666.1992863048308,2024-09-13
Corentin Moutet,1666.1992749044887,2024-11-04
Alex Bolt,1665.322160243686,2024-07-15
Yibing Wu,1664.2158843240275,2024-10-02
Dusan Lajovic,1661.7075043441876,2024-11-04
Marton Fucsovics,1661.6623823258071,2024-11-04
Reilly Opelka,1661.0262364902485,2024-10-02
Alexander Shevchenko,1658.1482509869652,2024-11-04
Yosuke Watanuki,1658.0115217214889,2024-10-02
Hugo Gaston,1656.91219955676,2024-11-04
Gabriel Diallo,1656.6820872416965,2024-11-20
Darian King,1655.8638987989114,2024-09-14
Zhizhen Zhang,1645.3195612697593,2024-10-28
Jozef Kovalik,1642.5808813494396,2024-09-15
Lorenzo Sonego,1641.5439031271803,2024-11-04
Juncheng Shang,1637.7938084489833,2024-12-18
Pierre Hugues Herbert,1637.1617015069714,2024-11-04
Alexandre Muller,1633.6726318054202,2024-11-04
Lucas Pouille,1632.9255699245173,2024-07-01
Andrea Vavassori,1631.872022301329,2024-07-29
Nicolas Jarry,1630.9326928000146,2024-10-28
Christopher Eubanks,1630.385280385393,2024-08-26
Gijs Brouwer,1629.6157614517535,2024-06-24
Adrian Mannarino,1629.30004039464,2024-11-04
Jiri Vesely,1628.9212335584534,2024-01-15
Tim Van Rijthoven,1628.672539838238,2024-06-10
Robin Haase,1626.1672768587555,2024-07-29
Altug Celikbilek,1626.0151749001905,2024-02-02
Sebastian Baez,1625.490346322057,2024-11-21
Alexander Bublik,1622.433998350808,2024-10-28
Andy Murray,1621.5517037004915,2024-06-17
Mackenzie Mcdonald,1620.7570146815847,2024-09-13
Sebastian Ofner,1618.8468801995286,2024-08-26
Matthew Ebden,1617.3730682570615,2024-07-29
Soon Woo Kwon,1614.399542433386,2024-09-13
Thiago Monteiro,1614.2050215094334,2024-11-04
Otto Virtanen,1613.3044833671809,2024-10-14
Facundo Bagnis,1613.0993264116912,2024-04-22
Tung Lin Wu,1612.1166306556568,2024-09-14
Aslan Karatsev,1609.6250025136646,2024-10-14
Filip Misolic,1609.236160856942,2024-07-22
Jurij Rodionov,1608.7121227950468,2024-09-13
Egor Gerasimov,1608.5438238283623,2024-10-02
Mattia Bellucci,1605.6269078388339,2024-10-02
Nam Hoang Ly,1605.5783684233686,2024-02-02
Liam Broady,1601.7096689374093,2024-07-01
Thiago Agustin Tirante,1601.0590395377224,2024-10-14
Beibit Zhukayev,1600.7846086580164,2024-10-14
Facundo Diaz Acosta,1600.0336373807663,2024-10-14
Marius Copil,1596.3394295531684,2024-02-03
Fabio Fognini,1596.2885946638066,2024-11-04
Lukas Klein,1594.6305420906474,2024-11-04
Martin Damm,1592.5851810887514,2024-03-18
Yu Hsiou Hsu,1591.1422773773802,2024-02-03
Benjamin Hassan,1590.979488904598,2024-10-14
Borna Coric,1590.668965894698,2024-10-14
Juan Manuel Cerundolo,1590.0383226285066,2024-02-26
Blaise Bicknell,1588.264455658046,2024-02-03
Lloyd Harris,1588.1937754393916,2024-07-01
Daniel Altmaier,1586.8536086359918,2024-11-22
Pablo Llamas Ruiz,1586.3726158585569,2024-04-22
Billy Harris,1586.2631030313732,2024-10-02
Marco Trungelliti,1585.8694730518077,2024-09-18
Jason Kubler,1584.8264881014925,2024-01-15
Elmer Moller,1584.5855259305445,2024-09-14
Alibek Kachmazov,1583.9800524718805,2024-09-18
Radu Albot,1582.6933102927585,2024-08-26
Gregoire Barrere,1582.2986597374017,2024-11-04
Maximilian Marterer,1581.0341764201844,2024-10-14
Henrique Rocha,1580.6365418662865,2024-09-13
Luca Van Assche,1580.2890035300366,2024-12-18
Francisco Comesana,1576.0315261205849,2024-08-26
Mariano Navone,1575.8701624761447,2024-11-04
Daniel Evans,1572.9199011665564,2024-10-14
Pedro Martinez,1570.5338818128298,2024-11-04
Pavel Kotov,1570.2915199447,2024-11-04
Hady Habib,1569.8867347011574,2024-09-14
Romain Arneodo,1569.3365285734885,2024-09-14
Mohamed Safwat,1569.0806855895,2024-09-13
Steve Johnson,1567.4185259580752,2024-02-05
Aqeel Khan,1564.9432726852817,2024-09-14
Mitchell Krueger,1564.7915777396552,2024-09-18
Oliver Ojakaar,1562.2055627424304,2024-03-15
Aleksandre Bakshi,1562.060099666385,2024-09-14
Manuel Guinard,1559.3130128814373,2024-11-04
Cezar Cretu,1559.0434609206711,2024-09-13
Leandro Riedi,1554.1457112228668,2024-07-15
Jerome Kym,1553.7491855572252,2024-10-21
Jaume Munar,1552.1535314965515,2024-10-14
August Holmgren,1552.0444080996156,2024-09-14
James Duckworth,1550.4532678518765,2024-11-04
Daniel Vallejo,1548.9729277062952,2024-02-03
Duje Ajdukovic,1548.7051692569776,2024-11-04
Demetris Azoides,1548.1132733142326,2024-09-14
Elias Ymer,1547.7129154997656,2024-10-14
Nicolas Moreno De Alboran,1547.6429320745292,2024-07-22
Matej Dodig,1547.1492752025022,2024-09-13
Lukas Pokorny,1546.823234854058,2024-02-02
Yanaki Milev,1545.4479804158152,2024-09-14
Paul Jubb,1545.2310798852127,2024-07-01
Terence Atmane,1543.153374115761,2024-10-02
Jacob Fearnley,1542.6343096022683,2024-10-14
Aisam Ul Haq Qureshi,1542.0102748426693,2024-02-03
Coleman Wong,1540.8553001657642,2024-10-14
Thomas Yaka Kofi Setodji,1540.212972693682,2024-09-14
Tennys Sandgren,1540.162237434987,2024-02-05
Lukas Neumayer,1539.4305119393841,2024-09-13
Alex Knaff,1538.4857246871832,2024-09-14
Damir Dzumhur,1538.4405168395122,2024-10-14
Aristotelis Thanos,1538.1912533533437,2024-09-14
Gonzalo Escobar,1537.6005975846779,2024-09-14
Giles Hussey,1537.1935102073292,2024-06-24
Luciano Darderi,1536.623628079862,2024-11-04
Alexander Ritschard,1536.4872591109952,2024-04-01
Ignacio Buse,1533.6450802534393,2024-09-13
Iliyan Radulov,1533.2055471453416,2024-09-14
Benjamin Lock,1532.910926914473,2024-02-03
Jack Loutit,1531.9603525905568,2024-09-14
Boris Arias,1530.5304984710244,2024-02-03
Benedict Badza,1530.5304984710244,2024-02-03
Martyn Pawelski,1530.5304984710244,2024-09-13
Joao Sousa,1530.0717653467384,2024-04-01
Aleksandar Kovacevic,1529.6436538015848,2024-11-04
Mikhail Kukushkin,1529.623751998821,2024-10-14
Niki Kaliyanda Poonacha,1529.291641305134,2024-02-03
Remy Bertola,1529.2651234452137,2024-09-13
Ioannis Xilas,1529.0043416309916,2024-09-14
Yasutaka Uchiyama,1527.3543124971334,2024-09-18
Giulio Zeppieri,1527.3390979475732,2024-05-27
J J Wolf,1526.1613335640404,2024-07-29
Khumoun Sultanov,1526.04430664059,2024-09-13
Richard Gasquet,1525.651035954204,2024-11-04
Jesper De Jong,1525.092181912774,2024-11-04
Daniel Elahi Galan,1524.8481673920373,2024-07-29
Andres Andrade,1524.4492953035183,2024-09-14
Justin Engel,1524.148887547082,2024-10-14
Denis Kudla,1524.0642944288047,2024-04-01
Liova Ayite Ajavon,1523.830315297052,2024-09-14
Guido Andreozzi,1523.3289528065507,2024-07-22
Benjamin Balleret,1522.8734927173232,2024-09-14
Omni Kumar,1520.852106279635,2024-08-19
Harold Mayot,1520.341868136307,2024-11-04
Ivan Gakhov,1518.298512541918,2024-04-15
