player_name,surface,rating,last_match
Roger Federer,Carpet,1752.2727820071073,2021-06-28
Ivan Ljubicic,Carpet,1701.19213434298,2012-04-15
Marat Safin,Carpet,1700.0684316235051,2009-11-08
David Nalbandian,Carpet,1685.2367804155579,2013-03-20
Nikolay Davydenko,Carpet,1679.928078293161,2014-05-26
Robin Soderling,Carpet,1673.1723201508635,2011-07-11
Marcos Baghdatis,Carpet,1657.9675494359392,2019-07-01
Andy Roddick,Carpet,1656.729553272144,2012-08-27
Mikhail Youzhny,Carpet,1651.0691332193385,2018-09-17
Thomas Johansson,Carpet,1642.3090652274611,2009-03-06
Yevgeny Kafelnikov,Carpet,1641.7844213150977,2003-10-20
Tim Henman,Carpet,1639.319485866591,2007-09-21
Radek Stepanek,Carpet,1623.1328618987072,2017-01-16
Tomas Berdych,Carpet,1621.5875302493807,2019-08-26
Tommy Haas,Carpet,1620.0969828356422,2017-07-31
Sebastien Grosjean,Carpet,1608.0661483128415,2010-02-22
Lleyton Hewitt,Carpet,1607.9655014978825,2016-01-18
Takao Suzuki,Carpet,1607.1661051778167,2009-10-05
Mario Ancic,Carpet,1604.7017968913715,2010-05-02
Jo-Wilfried Tsonga,Carpet,1599.249480642138,2022-05-23
Dominik Hrbaty,Carpet,1598.3630818005884,2010-02-01
Ernests Gulbis,Carpet,1596.5071683596466,2023-02-04
Andy Murray,Carpet,1595.480228600583,2024-06-17
Paradorn Srichaphan,Carpet,1585.602175260843,2007-03-19
Greg Rusedski,Carpet,1585.0972999724618,2006-09-22
Nicolas Escude,Carpet,1584.2289071504947,2004-07-26
Jiri Novak,Carpet,1577.994124174394,2006-10-23
Go Soeda,Carpet,1577.186943941654,2020-08-31
Novak Djokovic,Carpet,1574.6582607999958,2024-10-02
Nicolas Kiefer,Carpet,1574.152769663008,2010-06-21
Marc Gicquel,Carpet,1573.3878064439637,2014-02-03
Jimmy Wang,Carpet,1571.0485434724212,2015-09-18
Gustavo Kuerten,Carpet,1569.192918547881,2008-05-25
Julien Benneteau,Carpet,1568.583864368204,2018-08-27
Fernando Gonzalez,Carpet,1567.4889476896342,2012-03-21
Juan Martin del Potro,Carpet,1565.9444959300624,2022-02-07
Dmitry Tursunov,Carpet,1565.4390654473516,2017-08-28
Hicham Arazi,Carpet,1564.2690813949819,2005-04-04
Jerzy Janowicz,Carpet,1563.8268001518973,2020-03-06
Andrei Pavel,Carpet,1563.7074607287188,2009-09-21
Igor Kunitsyn,Carpet,1563.388329784698,2013-02-25
Jan Siemerink,Carpet,1562.8164271704572,2002-07-15
Michal Przysiezny,Carpet,1561.0309639411278,2018-04-07
Jonas Bjorkman,Carpet,1558.3753295490783,2008-10-06
Xavier Malisse,Carpet,1556.9382349511131,2013-08-26
Max Mirnyi,Carpet,1556.5927391222244,2008-08-11
Martin Verkerk,Carpet,1556.2818412280003,2008-07-14
Gouichi Motomura,Carpet,1555.9716560867128,2006-10-02
Frederik Nielsen,Carpet,1555.2039066510156,2020-03-06
Jarkko Nieminen,Carpet,1554.5639476400213,2016-07-15
Andre Agassi,Carpet,1551.9229506379716,2006-08-28
Frank Dancevic,Carpet,1551.7648414148105,2017-07-17
Carlos Moya,Carpet,1550.5139159114801,2010-05-09
Cyril Saulnier,Carpet,1549.6530773287882,2007-02-12
Daniel Nestor,Carpet,1549.4614971442697,2006-08-07
Richard Gasquet,Carpet,1548.6806948984358,2024-11-04
Danai Udomchoke,Carpet,1548.4641356283853,2015-03-06
Vladimir Voltchkov,Carpet,1547.9239013576992,2008-07-18
Andis Juska,Carpet,1547.730134942238,2014-09-12
Sargis Sargsian,Carpet,1546.7229294221002,2006-02-27
Stefan Koubek,Carpet,1546.5669271520662,2011-03-04
Grega Zemlja,Carpet,1546.5519879141234,2017-04-07
Peter Polansky,Carpet,1545.1004474267124,2019-08-05
Karol Beck,Carpet,1544.6123520462254,2012-08-27
Mirza Basic,Carpet,1544.4897264797662,2024-09-14
Frederic Niemeyer,Carpet,1543.7683194657527,2009-08-10
Patrick Rafter,Carpet,1543.2036046236415,2001-11-30
Sjeng Schalken,Carpet,1542.7962843485368,2005-07-18
Gael Monfils,Carpet,1542.4856173649146,2024-10-21
Goran Ivanisevic,Carpet,1541.9375406038848,2004-06-21
Igor Andreev,Carpet,1541.707511065232,2013-06-24
Orest Tereshchuk,Carpet,1541.3888480869348,2006-04-07
Todor Enev,Carpet,1541.244344331533,2011-03-04
Dudi Sela,Carpet,1539.9734447310227,2019-09-16
Thomas Enqvist,Carpet,1539.3004085614252,2005-10-24
Olivier Rochus,Carpet,1538.2098888324274,2013-06-24
Juan Carlos Ferrero,Carpet,1536.10188535127,2012-10-21
Wesley Moodie,Carpet,1534.2923564164737,2007-10-01
Helge Koll,Carpet,1533.3377923059763,2004-07-16
Marcel Felder,Carpet,1532.7023986633528,2013-04-05
Tatsuma Ito,Carpet,1532.1213650607988,2020-01-20
Yaoki Ishii,Carpet,1531.9338167652902,2001-10-01
Luis Manuel Flores,Carpet,1531.263693206478,2009-07-10
Grigor Dimitrov,Carpet,1531.263693206478,2024-10-28
Grzegorz Panfil,Carpet,1531.263693206478,2012-02-10
Christian Sigsgaard,Carpet,1531.263693206478,2022-09-17
Leander Paes,Carpet,1530.8315339711166,2008-04-11
Vadim Kutsenko,Carpet,1530.682768008765,2004-04-09
Lovro Zovko,Carpet,1530.5641271217237,2012-05-21
Robby Ginepri,Carpet,1530.3089244271373,2014-08-17
Peter Handoyo,Carpet,1529.9803714316222,2003-04-04
Steve Darcis,Carpet,1529.4263277096973,2020-01-06
Simon Larose,Carpet,1529.3723120951188,2004-09-24
Stan Wawrinka,Carpet,1529.3293620141035,2024-11-04
Louk Sorensen,Carpet,1529.0507051332654,2014-07-07
Paul Henri Mathieu,Carpet,1527.1117529347052,2017-09-18
Gilles Elseneer,Carpet,1526.226002570968,2006-04-07
Taylor Dent,Carpet,1525.6806800880859,2010-10-25
Joachim Johansson,Carpet,1524.7980051462232,2013-10-14
Mark Philippoussis,Carpet,1524.240001675209,2006-09-22
Hyung Taik Lee,Carpet,1523.3454015766708,2009-07-10
Tomas Behrend,Carpet,1523.3303387892643,2006-07-17
Fernando Verdasco,Carpet,1522.7740874541598,2023-04-17
Josselin Ouanna,Carpet,1522.3867697913686,2013-04-08
Fabrice Santoro,Carpet,1520.6393110774577,2010-01-18
Magnus Gustafsson,Carpet,1520.5327269910158,2001-10-22
Alejandro Falla,Carpet,1520.262411688001,2017-02-06
Kenneth Carlsen,Carpet,1519.5139148920061,2007-10-07
Alistair Hunt,Carpet,1519.2336826897533,2003-04-04
Mose Navarra,Carpet,1519.2016944927075,2002-04-05
Julien Varlet,Carpet,1518.7738660208972,2003-05-26
Marco Chiudinelli,Carpet,1518.18383551214,2017-10-23
Rainer Schuettler,Carpet,1517.8367505344468,2011-06-20
Richard Krajicek,Carpet,1517.6420438294174,2003-06-16
Lado Chikhladze,Carpet,1517.624903015116,2009-03-06
Dusan Vemic,Carpet,1517.4625627174391,2008-08-04
Radu Albot,Carpet,1517.4054807322952,2024-08-26
Nikoloz Basilashvili,Carpet,1517.3725163550669,2023-03-06
Gwinyai Tongoona,Carpet,1517.3108504590248,2006-07-21
Guillermo Canas,Carpet,1516.9957490825539,2009-07-13
Diego Hartfield,Carpet,1516.934641563384,2008-04-14
Mikhail Filima,Carpet,1516.7949633949931,2005-09-23
Eric Taino,Carpet,1516.7685818980626,2008-04-11
Ricardas Berankis,Carpet,1516.7685818980626,2024-02-03
Sergei Bubka,Carpet,1516.7584879485778,2012-09-14
Patrick Chucri,Carpet,1516.736306793522,2012-04-06
Will Farah Lebar,Carpet,1516.736306793522,2004-04-09
Julian Knowle,Carpet,1516.664391262714,2012-09-24
Laurynas Grigelis,Carpet,1516.002463843202,2022-03-04
Dinu Pescariu,Carpet,1516.0,2001-09-10
Lorenzo Manta,Carpet,1516.0,2001-07-09
Gert Vilms,Carpet,1516.0,2001-07-20
Tapio Nurminen,Carpet,1516.0,2001-04-06
Tsolak Gevorgyan,Carpet,1516.0,2002-07-12
Sergei Cuptov,Carpet,1516.0,2005-07-15
Guillermo Carter,Carpet,1516.0,2003-02-07
Wei Jen Cheng,Carpet,1516.0,2003-09-19
Matt Klinger,Carpet,1516.0,2003-04-04
Marc Vilanova,Carpet,1516.0,2003-04-04
Pau Gerbaud Farras,Carpet,1516.0,2003-07-11
Kornel Bardoczky,Carpet,1516.0,2010-03-05
Ilia Kushev,Carpet,1516.0,2006-07-21
Diogo Rocha,Carpet,1516.0,2005-03-04
Toshihide Matsui,Carpet,1516.0,2007-09-24
Adam Thompson,Carpet,1516.0,2009-03-06
Gastao Elias,Carpet,1516.0,2021-09-18
Daniel King Turner,Carpet,1516.0,2013-04-05
Pedro Sousa,Carpet,1516.0,2023-04-03
Sonchat Ratiwatana,Carpet,1516.0,2007-02-09
Sun Yong Kim Jr,Carpet,1516.0,2007-02-09
Patrick Tierro,Carpet,1516.0,2017-04-07
Marcin Matkowski,Carpet,1516.0,2012-09-14
Ruben Bemelmans,Carpet,1516.0,2021-09-18
Yves Allegro,Carpet,1516.0,2008-09-19
Kei Nishikori,Carpet,1516.0,2024-10-21
Adrians Zguns,Carpet,1516.0,2009-07-10
Barry King,Carpet,1516.0,2011-07-08
Dimitar Kuzmanov,Carpet,1516.0,2024-02-03
Sam Barry,Carpet,1516.0,2015-07-17
Markos Kalovelonis,Carpet,1516.0,2014-04-04
Benjamin Hannestad,Carpet,1516.0,2017-09-15
James Mcgee,Carpet,1515.9707727310965,2016-08-22
Woong Sun Jun,Carpet,1515.9660918698307,2008-09-19
Andrei Medvedev,Carpet,1515.5395259168367,2001-10-22
Jose Rubin Statham,Carpet,1515.4265550452203,2024-09-14
Yuichi Sugita,Carpet,1515.326640153606,2021-08-30
Lee Childs,Carpet,1515.2959092808367,2007-06-25
Jae Sung An,Carpet,1515.2799864325561,2008-02-08
Gyorgy Balazs,Carpet,1515.1410993248244,2011-09-16
Blaz Kavcic,Carpet,1514.9735371309525,2020-03-06
Feliciano Lopez,Carpet,1514.795531389953,2023-06-26
Ivaylo Traykov,Carpet,1513.9355780708033,2007-07-20
Marin Cilic,Carpet,1513.3575314858124,2024-11-04
Lukasz Kubot,Carpet,1513.026239385126,2015-10-11
Kristian Pless,Carpet,1512.7701416867665,2012-02-10
Ti Chen,Carpet,1512.4736692944737,2018-02-03
Vasilis Mazarakis,Carpet,1512.413939604277,2006-03-06
Ilija Bozoljac,Carpet,1512.3108170870948,2014-01-31
Andrei Luzgin,Carpet,1511.9837337332078,2005-03-04
Alejandro Hernandez,Carpet,1511.9163160748037,2005-03-04
Ville Liukko,Carpet,1511.819072893675,2001-04-06
Arnaud Clement,Carpet,1511.38774655921,2012-05-27
David Prinosil,Carpet,1510.8349937703529,2004-06-07
Julien Boutter,Carpet,1509.240266637118,2004-06-21
Marton Fucsovics,Carpet,1507.3366299006098,2024-11-04
Andreas Vinciguerra,Carpet,1507.0675703497004,2013-07-08
Dimitar Kutrovsky,Carpet,1506.517127072661,2015-09-18
James Blake,Carpet,1505.8100104962912,2013-08-26
Guillermo Coria,Carpet,1505.5057935474917,2008-07-14
Henri Kontinen,Carpet,1504.9467317189624,2011-09-16
Michael Chang,Carpet,1504.6806907498083,2003-08-25
Philipp Kohlschreiber,Carpet,1504.6632236563128,2022-04-25
Jerome Haehnel,Carpet,1504.1021382223435,2009-10-26
Andy Ram,Carpet,1503.249445056804,2012-04-06
Boris Pashanski,Carpet,1503.0653153218373,2013-02-01
Jean Francois Bachelot,Carpet,1502.9968777282534,2002-06-24
Denis Matsukevitch,Carpet,1502.7798949136516,2008-07-14
David Ferrer,Carpet,1502.5317934906366,2019-05-06
Luka Gregorc,Carpet,1502.3438642022095,2010-03-05
Adam Kellner,Carpet,1502.1970844813602,2012-04-06
Xin Yuan Yu,Carpet,1502.1191945501441,2008-08-11
Malek Jaziri,Carpet,1502.0450536241108,2023-02-27
Jose Acasuso,Carpet,1502.0190037805728,2011-02-14
Robin Haase,Carpet,1501.7385337340122,2024-07-29
Rabie Chaki,Carpet,1501.3410155395284,2009-04-06
Mikael Torpegaard,Carpet,1501.0875105345033,2022-03-04
Konstantin Kravchuk,Carpet,1501.0857944870852,2017-10-16
Chris Woodruff,Carpet,1501.0486370395927,2002-03-04
Helder Lopes,Carpet,1501.0184414919868,2003-07-11
Andrei Gorban,Carpet,1500.9768870341993,2012-02-10
Michael Berrer,Carpet,1500.9091688798426,2016-10-17
Stefano Galvani,Carpet,1500.8546815362529,2011-01-31
Pablo Cuevas,Carpet,1500.742169941224,2022-05-23
Radoslav Lukaev,Carpet,1500.6378275491238,2005-09-23
Jan Frode Andersen,Carpet,1500.4816732492227,2006-07-21
Nicolas Almagro,Carpet,1500.1223883595912,2018-07-23
Daniel Garza,Carpet,1500.0339081301693,2015-03-06
Aivaras Balzekas,Carpet,1500.0,2000-07-21
Rolandas Murashka,Carpet,1500.0,2000-07-21
Simon Rea,Carpet,1499.9338167652902,2007-04-06
Deniss Pavlovs,Carpet,1499.8199869614086,2012-04-06
Karlis Lejnieks,Carpet,1499.3515423891804,2010-09-17
Frederico Gil,Carpet,1499.3093310441652,2013-04-05
John Doran,Carpet,1499.2877271088282,2003-07-11
Filip Dewulf,Carpet,1499.263693206478,2001-02-09
Ashkan Shokoofi,Carpet,1499.263693206478,2007-04-06
Anoosha Shahgholi,Carpet,1499.263693206478,2017-02-03
Bruno Rodriguez,Carpet,1499.263693206478,2012-09-14
Antony Dupuis,Carpet,1498.993430632458,2007-07-09
Kevin Sorensen,Carpet,1498.8819615868442,2006-07-21
