player_name,surface,rating,last_match
Andy Murray,Carpet,1674.9516233103343,2024-06-17
Novak Djokovic,Carpet,1625.7548126106171,2024-10-02
Stan Wawrinka,Carpet,1594.602552755131,2024-11-04
Richard Gasquet,Carpet,1593.1603414463784,2024-11-04
Gael Monfils,Carpet,1583.3430030920053,2024-10-21
Mirza Basic,Carpet,1579.8915996091848,2024-09-14
Grigor Dimitrov,Carpet,1558.6346709523805,2024-10-28
Marin Cilic,Carpet,1541.98355300151,2024-11-04
Radu Albot,Carpet,1535.2874655891994,2024-08-26
Ricardas Berankis,Carpet,1532.4033335736547,2024-02-03
Dimitar Kuzmanov,Carpet,1530.5304984710244,2024-02-03
Kei Nishikori,Carpet,1529.3667904386045,2024-10-21
Jose Rubin Statham,Carpet,1527.406346022834,2024-09-14
Marton Fucsovics,Carpet,1519.7424434606153,2024-11-04
Robin Haase,Carpet,1505.5563917863788,2024-07-29
Damir Dzumhur,Carpet,1493.8080686410976,2024-10-14
Mikhail Kukushkin,Carpet,1483.7644992652367,2024-10-14
Benjamin Balleret,Carpet,1478.1279658750257,2024-09-14
Aqeel Khan,Carpet,1476.0982017204633,2024-09-14
Fabio Fognini,Carpet,1474.5428192003487,2024-11-04
Vasek Pospisil,Carpet,1469.4695015289756,2024-08-05
Eero Vasa,Carpet,1469.1150045598674,2024-09-14
Emil Ruusuvuori,Carpet,1467.6704198968532,2024-07-29
Mohamed Safwat,Carpet,1464.490298269365,2024-09-13
Rafael Nadal,Carpet,1429.6993907034343,2024-11-19
Novak Djokovic,Clay,2114.198240525487,2024-10-02
Carlos Alcaraz,Clay,2096.8486636897437,2024-11-19
Matteo Berrettini,Clay,2018.435845484848,2024-11-24
Alexander Zverev,Clay,2001.633561903687,2024-11-11
Stefanos Tsitsipas,Clay,1992.179795733893,2024-10-28
Rafael Nadal,Clay,1988.7290508056528,2024-11-19
Casper Ruud,Clay,1962.200009389411,2024-11-11
Jannik Sinner,Clay,1942.660437080598,2024-11-24
Lorenzo Musetti,Clay,1901.368490543441,2024-11-21
Alex De Minaur,Clay,1885.5165876356486,2024-11-23
Jan Lennard Struff,Clay,1884.6404990853762,2024-11-22
Felix Auger Aliassime,Clay,1874.7915031114312,2024-10-21
Hubert Hurkacz,Clay,1846.241600099244,2024-10-28
Daniil Medvedev,Clay,1843.4326736697158,2024-11-11
Karen Khachanov,Clay,1840.671759400585,2024-10-28
Taylor Fritz,Clay,1839.8011583272967,2024-11-21
Francisco Cerundolo,Clay,1835.1470202182797,2024-11-21
Holger Rune,Clay,1832.3535256796752,2024-10-28
Grigor Dimitrov,Clay,1826.4418023203714,2024-10-28
Andrey Rublev,Clay,1817.3181841114688,2024-11-11
Sebastian Baez,Clay,1806.7004918107048,2024-11-21
Kei Nishikori,Clay,1797.882075661433,2024-10-21
Milos Raonic,Clay,1792.6407703191758,2024-07-29
Tommy Paul,Clay,1781.767078850066,2024-10-28
Andy Murray,Clay,1774.781107588514,2024-06-17
Pablo Carreno Busta,Clay,1749.3581674981365,2024-10-02
Jiri Lehecka,Clay,1748.7758761202322,2024-11-04
Tomas Martin Etcheverry,Clay,1748.17345417489,2024-11-04
