,player,hierarchial_cluster
0,Abedallah Shelbayh,0
1,Adam Pavlasek,0
2,Adam Walton,0
3,Adrian Andreev,0
4,Adrian Garcia,0
5,Adrian Mannarino,0
6,Adrian Voinea,1
7,Adrien Bossel,0
8,Agustin Calleri,0
9,Agustin Velotti,0
10,Aisam Ul Haq Qureshi,3
11,Akira Santillan,2
12,Alan Mackin,0
13,Albano Olivetti,3
14,Albert Costa,0
15,Albert Montanes,0
16,Albert Ramos,0
17,Alberto Martin,2
18,Alejandro Davidovich Fokina,0
19,Alejandro Falla,0
20,Alejandro Gonzalez,0
21,Alejandro Lopez Escribano,0
22,Alejandro Moro Canas,0
23,Alejandro Tabilo,2
24,Aleksandar Kovacevic,2
25,Aleksandar Vukic,2
26,Aleksandr Nedovyesov,0
27,Aleksandre Metreveli,0
28,Alessandro Giannessi,2
29,Alex Barrena,0
30,Alex Bogdanovic,0
31,Alex Bogomolov Jr,0
32,Alex Bolt,0
33,Alex Corretja,0
34,Alex De Minaur,2
35,Alex Kuznetsov,2
36,Alex Marti Pujolras,0
37,Alex Michelsen,2
38,Alex Molcan,0
39,Alexander Blockx,0
40,Alexander Bublik,2
41,Alexander Cozbinov,0
42,Alexander Popp,2
43,Alexander Ritschard,0
44,Alexander Shevchenko,0
45,Alexander Vasilenko,0
46,Alexander Waske,3
47,Alexander Zverev,2
48,Alexandr Dolgopolov,2
49,Alexandre Muller,0
50,Alexandre Penaud,0
51,Alexei Popyrin,2
52,Alexey Vatutin,0
53,Alexis Galarneau,0
54,Aljaz Bedene,0
55,Altug Celikbilek,0
56,Alvaro Guillen Meza,0
57,Amir Weintraub,0
58,Andre Agassi,2
59,Andrea Arnaboldi,2
60,Andrea Collarini,2
61,Andrea Pellegrino,0
62,Andrea Vavassori,0
63,Andreas Haider Maurer,0
64,Andreas Seppi,0
65,Andreas Vinciguerra,0
66,Andrei Pavel,0
67,Andrei Stoliarov,0
68,Andrej Martin,0
69,Andres Artunedo,0
70,Andrew Harris,0
71,Andrey Golubev,0
72,Andrey Kuznetsov,0
73,Andrey Rublev,2
74,Andy Murray,2
75,Andy Roddick,2
76,Ante Pavic,2
77,Antoine Bellier,3
78,Antoine Escoffier,2
79,Antoine Hoang,0
80,Antonio Veic,1
81,Aristotelis Thanos,1
82,Arklon Huertas Del Pino,0
83,Arnaud Clement,0
84,Arnaud Di Pasquale,0
85,Arthur Cazaux,2
86,Arthur Fery,0
87,Arthur Fils,2
88,Arthur Rinderknech,2
89,Aslan Karatsev,2
90,Attila Balazs,0
91,Axel Michon,2
92,Baptiste Crepatte,0
93,Beibit Zhukayev,2
94,Ben Shelton,2
95,Benjamin Balleret,0
96,Benjamin Becker,2
97,Benjamin Bonzi,2
98,Benjamin Hassan,0
99,Benoit Paire,2
100,Bernabe Zapata Miralles,0
101,Bernard Tomic,2
102,Billy Harris,0
103,Bjorn Fratangelo,2
104,Bjorn Phau,0
105,Blaz Kavcic,0
106,Blaz Rola,0
107,Bob Bryan,3
108,Bobby Reynolds,2
109,Bohdan Ulihrach,0
110,Borna Coric,0
111,Borna Gojo,0
112,Botic Van De Zandschulp,0
113,Bradley Klahn,0
114,Brandon Holt,0
115,Brandon Nakashima,2
116,Brayden Schnur,2
117,Brian Battistone,3
118,Bruno Kuzuhara,0
119,Bu Yunchaokete,0
120,Cameron Norrie,0
121,Camilo Ugo Carabelli,0
122,Carlos Alcaraz,0
123,Carlos Berlocq,0
124,Carlos Eduardo Severino,1
125,Carlos Gimeno Valero,1
126,Carlos Moya,0
127,Carlos Taberner,0
128,Casper Ruud,2
129,Cedric Pioline,0
130,Cedrik Marcel Stebe,1
131,Cem Ilkel,2
132,Charles Broom,0
133,Chase Buchanan,0
134,Chieh Fu Wang,1
135,Chris Guccione,3
136,Christian Harrison,0
137,Christoph Negritu,0
138,Christophe Rochus,0
139,Christopher Eubanks,2
140,Christopher Heyman,2
141,Christopher Oconnell,0
142,Chun Hsin Tseng,2
143,Clement Chidekh,0
144,Coleman Wong,2
145,Colton Smith,0
146,Conner Huertas Del Pino,0
147,Constant Lestienne,2
148,Cooper Kose,0
149,Cooper Williams,0
150,Corentin Denolly,0
151,Corentin Moutet,0
152,Cristian Garin,0
153,Dalibor Svrcina,0
154,Damir Dzumhur,0
155,Daniel Altmaier,2
156,Daniel Dutra Da Silva,0
157,Daniel Elahi Galan,0
158,Daniel Evans,2
159,Daniel Gimeno Traver,0
160,Daniel Kosakowski,1
161,Daniel Masur,2
162,Daniel Michalski,0
163,Daniel Nestor,3
164,Daniel Nguyen,0
165,Daniel Rincon,0
166,Daniel Smethurst,0
167,Daniil Medvedev,2
168,Danilo Petrovic,0
169,Darian King,0
170,Dario Acosta,0
171,David Ferrer,0
172,David Goffin,2
173,David Guez,0
174,David Nalbandian,0
175,David Prinosil,3
176,Davide Sanguinetti,0
177,Denis Gremelmayr,0
178,Denis Istomin,0
179,Denis Kudla,0
180,Denis Shapovalov,2
181,Dennis Novak,0
182,Dennis Novikov,0
183,Devin Britton,0
184,Diego Hartfield,0
185,Diego Schwartzman,0
186,Dimitar Kuzmanov,0
187,Dino Prizmic,0
188,Dmitry Popko,0
189,Dmitry Tursunov,0
190,Dominic Stricker,0
191,Dominic Thiem,0
192,Dominik Hrbaty,0
193,Dominik Koepfer,0
194,Donald Young,0
195,Dragos Dima,2
196,Duck Hee Lee,1
197,Dudi Sela,2
198,Duje Ajdukovic,0
199,Dusan Lajovic,0
200,Dustin Brown,3
201,Dylan Dietrich,2
202,Dzmitry Zhyrmont,1
203,Edouard Roger Vasselin,0
204,Eduardo Russi,1
205,Eduardo Struvay,0
206,Egor Gerasimov,0
207,Elias Ymer,0
208,Eliot Spizzirri,0
209,Elliot Benchetrit,0
210,Elmer Moller,0
211,Emil Ruusuvuori,0
212,Emilio Gomez,0
213,Emilio Nava,2
214,Enzo Couacaud,0
215,Ergi Kirkin,0
216,Ernesto Escobedo,2
217,Ernests Gulbis,2
218,Ethan Quinn,0
219,Evan Furness,2
220,Evan King,0
221,Evan Zhu,0
222,Evgeny Donskoy,2
223,Evgeny Korolev,1
224,Fabian Marozsan,2
225,Fabio Fognini,0
226,Fabrice Santoro,0
227,Facundo Arguello,0
228,Facundo Bagnis,0
229,Facundo Diaz Acosta,2
230,Facundo Mena,0
231,Farrukh Dustov,0
232,Federico Agustin Gomez,2
233,Federico Arnaboldi,0
234,Federico Cina,0
235,Federico Coria,0
236,Federico Delbonis,0
237,Federico Gaio,0
238,Federico Luzzi,2
239,Feliciano Lopez,2
240,Felix Auger Aliassime,2
241,Felix Mantilla,0
242,Fernando Gonzalez,0
243,Fernando Romboli,0
244,Fernando Verdasco,0
245,Filip Bergevi,2
246,Filip Cristian Jianu,1
247,Filip Horansky,0
248,Filip Krajinovic,0
249,Filip Misolic,2
250,Filippo Volandri,0
251,Fitriadi M Rifqi,2
252,Flavio Cobolli,0
253,Flavio Saretta,0
254,Florent Serra,0
255,Florian Mayer,0
256,Frances Tiafoe,2
257,Francesco Maestrelli,2
258,Francesco Passaro,0
259,Francisco Cerundolo,0
260,Francisco Comesana,2
261,Francisco Llanes,1
262,Franco Skugor,2
263,Franco Squillari,0
264,Frank Dancevic,0
265,Gabriel Decamps,2
266,Gabriel Diallo,2
267,Gabriele Felline,0
268,Gael Monfils,2
269,Gastao Elias,2
270,Gaston Gaudio,0
271,Gavin Van Peperzeel,0
272,Genaro Alberto Olivieri,0
273,George Bastl,0
274,Gerald Melzer,0
275,Germain Gigounon,1
276,Gianluca Mager,0
277,Gianluigi Quinzi,1
278,Gijs Brouwer,0
279,Gilles Arnaud Bailly,0
280,Gilles Muller,2
281,Gilles Simon,0
282,Giorgio Galimberti,0
