,player,Kmeans_cluster
0,Abedallah Shelbayh,1
1,Adam Pavlasek,0
2,Adam Walton,0
3,Adrian Andreev,0
4,Adrian Garcia,1
5,Adrian Mannarino,3
6,Adrian Voinea,0
7,Adrien Bossel,0
8,Agustin Calleri,0
9,Agustin Velotti,0
10,Aisam Ul Haq Qureshi,2
11,Akira Santillan,1
12,Alan Mackin,0
13,Albano Olivetti,2
14,Albert Costa,3
15,Albert Montanes,3
16,Albert Ramos,3
17,Alberto Martin,3
18,Alejandro Davidovich Fokina,1
19,Alejandro Falla,0
20,Alejandro Gonzalez,0
21,Alejandro Lopez Escribano,3
22,Alejandro Moro Canas,0
23,Alejandro Tabilo,1
24,Aleksandar Kovacevic,1
25,Aleksandar Vukic,1
26,Aleksandr Nedovyesov,0
27,Aleksandre Metreveli,1
28,Alessandro Giannessi,3
29,Alex Barrena,0
30,Alex Bogdanovic,0
31,Alex Bogomolov Jr,3
32,Alex Bolt,3
33,Alex Corretja,0
34,Alex De Minaur,0
35,Alex Kuznetsov,1
36,Alex Marti Pujolras,3
37,Alex Michelsen,1
38,Alex Molcan,0
39,Alexander Blockx,1
40,Alexander Bublik,2
41,Alexander Cozbinov,0
42,Alexander Popp,2
43,Alexander Ritschard,3
44,Alexander Shevchenko,1
45,Alexander Vasilenko,0
46,Alexander Waske,2
47,Alexander Zverev,1
48,Alexandr Dolgopolov,1
49,Alexandre Muller,0
50,Alexandre Penaud,3
51,Alexei Popyrin,1
52,Alexey Vatutin,0
53,Alexis Galarneau,3
54,Aljaz Bedene,0
55,Altug Celikbilek,0
56,Alvaro Guillen Meza,3
57,Amir Weintraub,0
58,Andre Agassi,0
59,Andrea Arnaboldi,2
60,Andrea Collarini,3
61,Andrea Pellegrino,3
62,Andrea Vavassori,1
63,Andreas Haider Maurer,1
64,Andreas Seppi,0
65,Andreas Vinciguerra,0
66,Andrei Pavel,1
67,Andrei Stoliarov,0
68,Andrej Martin,3
69,Andres Artunedo,0
70,Andrew Harris,0
71,Andrey Golubev,1
72,Andrey Kuznetsov,1
73,Andrey Rublev,1
74,Andy Murray,1
75,Andy Roddick,1
76,Ante Pavic,1
77,Antoine Bellier,2
78,Antoine Escoffier,1
79,Antoine Hoang,0
80,Antonio Veic,0
81,Aristotelis Thanos,0
82,Arklon Huertas Del Pino,0
83,Arnaud Clement,1
84,Arnaud Di Pasquale,3
85,Arthur Cazaux,1
86,Arthur Fery,1
87,Arthur Fils,1
88,Arthur Rinderknech,1
89,Aslan Karatsev,1
90,Attila Balazs,0
91,Axel Michon,3
92,Baptiste Crepatte,3
93,Beibit Zhukayev,1
94,Ben Shelton,1
95,Benjamin Balleret,0
96,Benjamin Becker,3
97,Benjamin Bonzi,1
98,Benjamin Hassan,1
99,Benoit Paire,1
100,Bernabe Zapata Miralles,0
101,Bernard Tomic,1
102,Billy Harris,0
103,Bjorn Fratangelo,2
104,Bjorn Phau,0
105,Blaz Kavcic,0
106,Blaz Rola,3
107,Bob Bryan,2
108,Bobby Reynolds,3
109,Bohdan Ulihrach,0
110,Borna Coric,1
111,Borna Gojo,1
112,Botic Van De Zandschulp,1
113,Bradley Klahn,0
114,Brandon Holt,0
115,Brandon Nakashima,1
116,Brayden Schnur,1
117,Brian Battistone,2
118,Bruno Kuzuhara,3
119,Bu Yunchaokete,0
120,Cameron Norrie,3
121,Camilo Ugo Carabelli,3
122,Carlos Alcaraz,1
123,Carlos Berlocq,0
124,Carlos Eduardo Severino,0
125,Carlos Gimeno Valero,3
126,Carlos Moya,3
127,Carlos Taberner,3
128,Casper Ruud,1
129,Cedric Pioline,1
130,Cedrik Marcel Stebe,3
131,Cem Ilkel,3
132,Charles Broom,0
133,Chase Buchanan,0
134,Chieh Fu Wang,3
135,Chris Guccione,2
136,Christian Harrison,3
137,Christoph Negritu,1
138,Christophe Rochus,0
139,Christopher Eubanks,1
140,Christopher Heyman,3
141,Christopher Oconnell,1
142,Chun Hsin Tseng,3
143,Clement Chidekh,1
144,Coleman Wong,3
145,Colton Smith,1
146,Conner Huertas Del Pino,3
147,Constant Lestienne,1
148,Cooper Kose,0
149,Cooper Williams,0
150,Corentin Denolly,0
151,Corentin Moutet,3
152,Cristian Garin,1
153,Dalibor Svrcina,0
154,Damir Dzumhur,0
155,Daniel Altmaier,1
156,Daniel Dutra Da Silva,3
157,Daniel Elahi Galan,3
158,Daniel Evans,1
159,Daniel Gimeno Traver,3
160,Daniel Kosakowski,0
161,Daniel Masur,2
162,Daniel Michalski,3
163,Daniel Nestor,2
164,Daniel Nguyen,1
165,Daniel Rincon,0
166,Daniel Smethurst,0
167,Daniil Medvedev,0
168,Danilo Petrovic,2
169,Darian King,0
170,Dario Acosta,0
171,David Ferrer,3
172,David Goffin,1
173,David Guez,0
174,David Nalbandian,0
175,David Prinosil,2
176,Davide Sanguinetti,0
177,Denis Gremelmayr,0
178,Denis Istomin,0
179,Denis Kudla,0
180,Denis Shapovalov,1
181,Dennis Novak,1
182,Dennis Novikov,2
183,Devin Britton,2
184,Diego Hartfield,0
185,Diego Schwartzman,0
186,Dimitar Kuzmanov,3
187,Dino Prizmic,3
188,Dmitry Popko,3
189,Dmitry Tursunov,2
190,Dominic Stricker,1
191,Dominic Thiem,1
192,Dominik Hrbaty,0
193,Dominik Koepfer,1
194,Donald Young,0
195,Dragos Dima,0
196,Duck Hee Lee,0
197,Dudi Sela,0
198,Duje Ajdukovic,1
199,Dusan Lajovic,3
200,Dustin Brown,2
201,Dylan Dietrich,2
202,Dzmitry Zhyrmont,0
203,Edouard Roger Vasselin,1
204,Eduardo Russi,0
205,Eduardo Struvay,2
206,Egor Gerasimov,1
207,Elias Ymer,0
208,Eliot Spizzirri,0
209,Elliot Benchetrit,1
210,Elmer Moller,0
211,Emil Ruusuvuori,0
212,Emilio Gomez,0
213,Emilio Nava,1
214,Enzo Couacaud,0
215,Ergi Kirkin,0
216,Ernesto Escobedo,0
217,Ernests Gulbis,0
218,Ethan Quinn,1
219,Evan Furness,3
220,Evan King,3
221,Evan Zhu,0
222,Evgeny Donskoy,1
223,Evgeny Korolev,3
224,Fabian Marozsan,1
225,Fabio Fognini,1
226,Fabrice Santoro,1
227,Facundo Arguello,3
228,Facundo Bagnis,3
229,Facundo Diaz Acosta,3
230,Facundo Mena,0
231,Farrukh Dustov,0
232,Federico Agustin Gomez,1
233,Federico Arnaboldi,1
234,Federico Cina,1
235,Federico Coria,3
236,Federico Delbonis,3
237,Federico Gaio,1
238,Federico Luzzi,0
239,Feliciano Lopez,1
240,Felix Auger Aliassime,1
241,Felix Mantilla,0
242,Fernando Gonzalez,1
243,Fernando Romboli,0
244,Fernando Verdasco,1
245,Filip Bergevi,3
246,Filip Cristian Jianu,0
247,Filip Horansky,1
248,Filip Krajinovic,1
249,Filip Misolic,1
250,Filippo Volandri,3
251,Fitriadi M Rifqi,3
252,Flavio Cobolli,1
253,Flavio Saretta,0
254,Florent Serra,3
255,Florian Mayer,0
256,Frances Tiafoe,1
257,Francesco Maestrelli,1
258,Francesco Passaro,1
259,Francisco Cerundolo,1
260,Francisco Comesana,1
261,Francisco Llanes,3
262,Franco Skugor,0
263,Franco Squillari,0
264,Frank Dancevic,2
265,Gabriel Decamps,0
266,Gabriel Diallo,1
267,Gabriele Felline,3
268,Gael Monfils,1
269,Gastao Elias,1
270,Gaston Gaudio,3
271,Gavin Van Peperzeel,1
272,Genaro Alberto Olivieri,3
273,George Bastl,0
274,Gerald Melzer,1
275,Germain Gigounon,0
276,Gianluca Mager,0
277,Gianluigi Quinzi,0
278,Gijs Brouwer,3
279,Gilles Arnaud Bailly,0
280,Gilles Muller,2
281,Gilles Simon,0
282,Giorgio Galimberti,0
283,Giovanni Lapentti,3
284,Giovanni Mpetshi Perricard,2
285,Giulio Zeppieri,3
286,Goncalo Oliveira,1
287,Gonzalo Escobar,3
288,Gonzalo Lama,3
289,Goran Ivanisevic,2
290,Govind Nanda,0
291,Greg Rusedski,2
292,Grega Zemlja,2
293,Gregoire Barrere,0
294,Grigor Dimitrov,1
295,Guido Andreozzi,3
296,Guido Pella,3
297,Guillermo Canas,3
298,Guillermo Coria,0
299,Guillermo Garcia Lopez,1
300,Gustavo Kuerten,1
301,Guy Den Ouden,3
302,Hady Habib,1
303,Hamad Medjedovic,1
304,Harel Levy,0
305,Harold Mayot,0
306,Henri Laaksonen,3
307,Henrique Rocha,3
308,Hernan Casanova,3
309,Hiroki Moriya,3
310,Ho Gi Kang,3
311,Holger Rune,1
312,Horacio Zeballos,1
313,Hubert Hurkacz,1
314,Hugo Dellien,3
315,Hugo Gaston,3
316,Hugo Grenier,1
317,Hunter Reese,0
318,Hyeon Chung,0
319,Hyung Taik Lee,3
320,Ignacio Buse,3
321,Igor Andreev,3
322,Igor Sijsling,2
323,Illya Marchenko,3
324,Ilya Ivashka,3
325,Inaki Montes De La Torre,3
326,Inigo Cervantes Huegun,1
327,Irakli Labadze,0
328,Ivan Dodig,1
329,Ivan Gakhov,1
330,Ivan Ljubicic,1
331,Ivo Heuberger,0
332,Ivo Karlovic,2
333,Ivo Minar,0
334,Izak Van Der Merwe,0
335,J J Wolf,1
336,Jack Brasington,3
337,Jack Draper,1
338,Jack Sock,1
339,Jacob Fearnley,1
340,Jaime Faria,1
341,Jakub Mensik,1
342,James Blake,1
343,James Duckworth,1
344,James Mccabe,0
345,James Trotter,3
346,James Ward,1
347,Jan Choinski,0
