player,net_frequency,net_winner_rate,net_unforced_rate,net_forced_rate,net_points_won_ratio
Aaron Krickstein,0.015695744,0.307692308,0.192307692,0.057692308,0.538461538
Abedallah Shelbayh,0.052516411,0.541666667,0.041666667,0.083333333,0.833333333
Adam Pavlasek,0.037643208,0.347826087,0.086956522,0.217391304,0.739130435
Adam Walton,0.037634409,0.5,0.142857143,0.071428571,0.714285714
Adrian Andreev,0.036818182,0.345679012,0.111111111,0.135802469,0.716049383
Adrian Garcia,0.027888446,0.428571429,0.142857143,0.142857143,0.571428571
Adrian Mannarino,0.032981814,0.412724307,0.11908646,0.102773246,0.662316476
Adrian Voinea,0.034482759,0,0,0,0
Adriano Panatta,0.098642534,0.357798165,0.119266055,0.082568807,0.660550459
Adrien Bossel,0.026785714,0,0.333333333,0.333333333,0.333333333
Agustin Calleri,0.078282828,0.419354839,0.096774194,0.161290323,0.677419355
Agustin Velotti,0.016042781,0.666666667,0,0,0.666666667
Aisam Ul Haq Qureshi,0.180672269,0.348837209,0.162790698,0.093023256,0.651162791
Akira Santillan,0.035502959,0.666666667,0.166666667,0,0.833333333
Alan Mackin,0.005319149,1,0,0,1
Albano Olivetti,0.386363636,0.176470588,0.352941176,0.235294118,0.647058824
Albert Costa,0.023956194,0.542857143,0.071428571,0.114285714,0.771428571
Albert Montanes,0.009819967,0.666666667,0,0,1
Albert Ramos,0.017567904,0.546099291,0.070921986,0.070921986,0.709219858
Alberto Berasategui,0.013605442,0.636363636,0.090909091,0.045454545,0.818181818
Alberto Mancini,0.02125,0.411764706,0.088235294,0.088235294,0.588235294
Alberto Martin,0.030959752,0.7,0.1,0.1,0.9
Alejandro Davidovich Fokina,0.031316178,0.516393443,0.100409836,0.077868852,0.741803279
Alejandro Falla,0.048862115,0.328767123,0.123287671,0.136986301,0.616438356
Alejandro Gonzalez,0.021568627,0.545454545,0,0,0.727272727
Alejandro Lopez Escribano,0.004784689,1,0,0,1
Alejandro Moro Canas,0.03610675,0.608695652,0.130434783,0.086956522,0.782608696
Alejandro Tabilo,0.037385221,0.461988304,0.111111111,0.081871345,0.713450292
Aleksandar Kovacevic,0.013714286,0.625,0.166666667,0.083333333,0.791666667
Aleksandar Vukic,0.0228125,0.397260274,0.123287671,0.095890411,0.671232877
Aleksandr Nedovyesov,0.039735099,0.444444444,0,0,0.5
Aleksandre Metreveli,0.079681275,0.35,0.2,0.15,0.8
Alessandro Giannessi,0.034364261,0.6,0.166666667,0.033333333,0.666666667
Alex Barrena,0.037878788,0,0.2,0.6,0.6
Alex Bogdanovic,0.044198895,0.625,0.25,0,0.75
Alex Bogomolov Jr,0.038961039,0.5,0,0,0.833333333
Alex Bolt,0.061538462,0.46875,0.1875,0.1875,0.75
Alex Corretja,0.036391101,0.509433962,0.083018868,0.105660377,0.788679245
Alex De Minaur,0.032073778,0.462256149,0.072094996,0.117048346,0.750636132
Alex Kuznetsov,0.06918239,0.363636364,0.181818182,0.181818182,0.545454545
Alex Marti Pujolras,0.014662757,0.4,0.2,0.2,0.6
Alex Michelsen,0.056196319,0.449781659,0.074235808,0.144104803,0.772925764
Alex Molcan,0.021221532,0.37804878,0.146341463,0.109756098,0.62195122
Alexander Blockx,0.030651341,0.5625,0,0.0625,0.875
Alexander Bublik,0.073483932,0.361390668,0.120768527,0.094236048,0.626715462
Alexander Cozbinov,0.039039039,0.346153846,0.076923077,0.076923077,0.615384615
Alexander Popp,0.05785124,0.714285714,0.142857143,0,0.785714286
Alexander Ritschard,0.03164557,0.8,0.2,0,0.8
Alexander Shevchenko,0.026247401,0.524752475,0.138613861,0.069306931,0.762376238
Alexander Vasilenko,0.023529412,0.25,0,0.5,1
Alexander Volkov,0.164539007,0.232758621,0.137931034,0.206896552,0.637931034
Alexander Waske,0.236363636,0.192307692,0.192307692,0.269230769,0.615384615
Alexander Zverev,0.043874283,0.429195804,0.128059441,0.099213287,0.675699301
Alexandr Dolgopolov,0.030035635,0.508474576,0.124293785,0.09039548,0.745762712
Alexandre Muller,0.037269517,0.473684211,0.105263158,0.115789474,0.663157895
Alexandre Penaud,0.01010101,0.666666667,0,0,1
Alexei Popyrin,0.064305823,0.465437788,0.108294931,0.076036866,0.714285714
Alexey Vatutin,0.024390244,0,0,0.333333333,0.333333333
Alexis Galarneau,0.024150943,0.5625,0.0625,0.09375,0.78125
Aljaz Bedene,0.019271664,0.386206897,0.165517241,0.089655172,0.668965517
Altug Celikbilek,0.066390041,0.25,0.0625,0.0625,0.75
Alvaro Guillen Meza,0.024472574,0.586206897,0.068965517,0.103448276,0.827586207
Amir Weintraub,0.033333333,0.375,0,0.125,0.875
Amos Mansdorf,0.07755102,0.421052632,0,0.105263158,0.789473684
Anders Jarryd,0.239819005,0.301886792,0.056603774,0.056603774,0.660377358
Andre Agassi,0.034554143,0.460309536,0.131802297,0.115327009,0.701447828
Andrea Arnaboldi,0.112,0.642857143,0.071428571,0.071428571,0.785714286
Andrea Collarini,0.017316017,0.75,0,0,1
Andrea Gaudenzi,0.044660194,0.5,0.130434783,0.086956522,0.760869565
Andrea Pellegrino,0.005263158,1,0,0,1
Andrea Vavassori,0.117404737,0.342105263,0.087719298,0.166666667,0.745614035
Andreas Haider Maurer,0.042387543,0.571428571,0.06122449,0.102040816,0.816326531
Andreas Seppi,0.020819113,0.459016393,0.12568306,0.098360656,0.704918033
Andreas Vinciguerra,0.060747664,0.307692308,0.076923077,0.076923077,0.692307692
Andrei Cherkasov,0.026134801,0.631578947,0.105263158,0.052631579,0.842105263
Andrei Chesnokov,0.028451178,0.431952663,0.147928994,0.082840237,0.621301775
